backend_step_index,log_w,log_n,log_q,s,residual_norm,converged,newton_iterations,continuation_status,step_size,loca_continuation_mode,lambda1_real,lambda1_imag,lambda2_real,lambda2_imag,lambda3_real,lambda3_imag,eigenvalue_regime,stability_classification,eigenvalue_source,jacobian_coordinate_system,physical_jacobian_11,physical_jacobian_12,physical_jacobian_13,physical_jacobian_21,physical_jacobian_22,physical_jacobian_23,physical_jacobian_31,physical_jacobian_32,physical_jacobian_33
30,-7.28987559803825658e+00,5.45506641736851439e+00,-1.68712380639208739e+01,1.43637759001922216e+00,2.17045304172025384e-17,true,1,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.61411595457053825e-03,7.05186608479673989e-04,-2.61411595457053825e-03,-7.05186608479673989e-04,-4.68896866474366545e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.11092232353687001e-04,-6.07194174989822693e+06,1.62996752157588872e+02,1.02342660293850144e-12,-5.08449257124339842e-03,4.11507656357271197e-10,-2.75771460425118412e-09,-6.85030898501315466e+00,-1.54397201835780862e-06
31,-7.27950803598812879e+00,5.46537506030438802e+00,-1.68608826780120218e+01,1.43640479614213090e+00,7.41832077448933500e-11,true,0,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.61090197238065744e-03,6.98518789817720743e-04,-2.61090197238065744e-03,-6.98518789817720743e-04,-4.75518287971260197e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.11111275495532539e-04,-6.07184714376554266e+06,1.64690850004566443e+02,1.02350634600844183e-12,-5.08465099183611630e-03,4.15778160693382399e-10,-2.75792950593235247e-09,-6.85052259088307647e+00,-1.55996540092543681e-06
32,-7.26914047393800100e+00,5.47568356930872557e+00,-1.68505274002982972e+01,1.43643200195778409e+00,5.03097109463063386e-17,true,1,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.60762211919694960e-03,6.91666396134866515e-04,-2.60762211919694960e-03,-6.91666396134866515e-04,-4.82271769554262265e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.11130329716342755e-04,-6.07175248701853864e+06,1.66402535933592162e+02,1.02358611928583882e-12,-5.08480955406498316e-03,4.20092930396498808e-10,-2.75814443536063892e-09,-6.85073605442326272e+00,-1.57612416683596882e-06
33,-7.25877291188787321e+00,5.48599207831306312e+00,-1.68401721225845726e+01,1.43645920777343727e+00,8.90075537356122754e-11,true,0,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.60427410027248233e-03,6.84620479334124084e-04,-2.60427410027248233e-03,-6.84620479334124084e-04,-4.89161760474761073e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.11149384531256405e-04,-6.07165783174717892e+06,1.68132011974937711e+02,1.02366589679193254e-12,-5.08496812617843449e-03,4.24452476952640931e-10,-2.75835937082000964e-09,-6.85094949799298725e+00,-1.59245031003192399e-06
34,-7.24840534983774631e+00,5.49630073918555695e+00,-1.68298167303508031e+01,1.43648641392317233e+00,7.35090181443178498e-17,true,1,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.60085546446182318e-03,6.77371441823824776e-04,-2.60085546446182318e-03,-6.77371441823824776e-04,-4.96192958969373320e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.11168424722967341e-04,-6.07156325353858247e+06,1.69879484596537054e+02,1.02374564068380229e-12,-5.08512651728359414e-03,4.28857324827582040e-10,-2.75857428007946885e-09,-6.85116309742242269e+00,-1.60894588645916404e-06
35,-7.23803778778761853e+00,5.50660940005805077e+00,-1.68194613381170335e+01,1.43651362007290739e+00,7.41958139819749850e-11,true,0,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.59736392269111459e-03,6.69908655126617435e-04,-2.59736392269111459e-03,-6.69908655126617435e-04,-5.03370150719468536e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.11187465507870655e-04,-6.07146867680323124e+06,1.71645119497451162e+02,1.02382538879895776e-12,-5.08528491826155948e-03,4.33307884969164582e-10,-2.75878919536499756e-09,-6.85137667689377583e+00,-1.62561233226531825e-06
36,-7.22767022573749074e+00,5.51691792699430916e+00,-1.68091060540802069e+01,1.43654082591537957e+00,3.25824658160866066e-17,true,1,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.59379701631890554e-03,6.62220673878987048e-04,-2.59379701631890554e-03,-6.62220673878987048e-04,-5.10698396760696639e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.11206517373999642e-04,-6.07137404945014417e+06,1.73429085194067483e+02,1.02390516713192008e-12,-5.08544346090289076e-03,4.37804576884884301e-10,-2.75900413840638849e-09,-6.85159011401547957e+00,-1.64245112161414461e-06
37,-7.21730266368736384e+00,5.52722645393056755e+00,-1.67987507700433802e+01,1.43656803175785175e+00,8.90146324520001891e-11,true,0,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.59015191501650935e-03,6.54295202227952967e-04,-2.59015191501650935e-03,-6.54295202227952967e-04,-5.18183217558522923e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.11225569834011103e-04,-6.07127942357187998e+06,1.75231592248667198e+02,1.02398494969279800e-12,-5.08560201342513236e-03,4.42347933629212399e-10,-2.75921908747774825e-09,-6.85180353117414676e+00,-1.65946433239651958e-06
38,-7.20693510163723605e+00,5.53753513273029707e+00,-1.67883953714883205e+01,1.43659523793439869e+00,5.57987027681613469e-17,true,1,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.58642558807810298e-03,6.46118904463935601e-04,-2.58642558807810298e-03,-6.46118904463935601e-04,-5.25830470547252772e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.11244607669873450e-04,-6.07118487474502902e+06,1.77052855847637034e+02,1.02406469862971177e-12,-5.08576038492648558e-03,4.46938501780377173e-10,-2.75943401034010785e-09,-6.85201710420732724e+00,-1.67665410710190319e-06
39,-7.19656753958710826e+00,5.54784381153002659e+00,-1.67780399729332608e+01,1.43662244411094564e+00,7.42083771577904743e-11,true,0,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.58261512597824164e-03,6.37676957230776521e-04,-2.58261512597824164e-03,-6.37676957230776521e-04,-5.33646182381502946e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.11263646098706890e-04,-6.07109032739059627e+06,1.78893048687929280e+02,1.02414445178913013e-12,-5.08591876629697123e-03,4.51576709615940281e-10,-2.75964893922742273e-09,-6.85223065728984704e+00,-1.69402194230651367e-06
