backend,branch_id,point_index,T_K,p_Pa,F,N_a_m3,N_a_cm3,log_w,w_m_s,log_n,log_q,n,q,s,continuation_residual_norm,physical_residual_norm,scaled_physical_residual_norm,converged,iterations,message,eigenvalue_regime,stability_classification,jacobian_coordinate_system,jacobian_method,eigenvalue_source,lambda1_real,lambda1_imag,lambda2_real,lambda2_imag,lambda3_real,lambda3_imag,tracked_lambda1_real,tracked_lambda1_imag,tracked_lambda2_real,tracked_lambda2_imag,tracked_lambda3_real,tracked_lambda3_imag
python,figure2_T230K,590,230.0,30000.0,1.0,10000000000.0,10000.0,-1.4840408499668367,0.22671969462490035,11.228553010900793,-11.072011600854617,75248.63259122185,1.5541268304878067e-05,1.4516139549052705,4.3094872776797966e-17,3.2116531656356532e-12,4.268056819716911e-17,True,7,The solution converged.,complex_pair,unstable,physical_ode_state,analytic_sympy_transcribed_physical_ode_jacobian,python_analytic,0.00033422562517955836,0.013096671363270022,0.00033422562517955836,-0.013096671363270022,-0.006958267310913311,0.0,0.00033422562517955836,0.013096671363270022,-0.006958267310913311,0.0,0.00033422562517955836,-0.013096671363270022
python,figure2_T230K,591,230.0,30000.0,1.0,10000000000.0,10000.0,-1.4736732879167098,0.22908245198001306,11.238864007357254,-11.061655418527401,76028.53485023408,1.5703052801961058e-05,1.4516411644894014,1.6534734070313956e-17,1.2505552149377775e-12,1.6448540543548144e-17,True,7,The solution converged.,complex_pair,unstable,physical_ode_state,analytic_sympy_transcribed_physical_ode_jacobian,python_analytic,0.00033451477466490216,0.013159723256220347,0.00033451477466490216,-0.013159723256220347,-0.006964155418636686,0.0,0.00033451477466490216,0.013159723256220347,-0.006964155418636686,0.0,0.00033451477466490216,-0.013159723256220347
python,figure2_T230K,592,230.0,30000.0,1.0,10000000000.0,10000.0,-1.463305725866582,0.23146983279065939,11.249175007986421,-11.051299234739332,76816.52060036531,1.586652149773418e-05,1.4516683740797545,9.185343448116664e-17,7.048583938740194e-12,9.175869830673515e-17,True,7,The solution converged.,complex_pair,unstable,physical_ode_state,analytic_sympy_transcribed_physical_ode_jacobian,python_analytic,0.00033476536013397765,0.013223106834714416,0.00033476536013397765,-0.013223106834714416,-0.006970019599447905,0.0,0.00033476536013397765,0.013223106834714416,-0.006970019599447905,0.0,0.00033476536013397765,-0.013223106834714416
python,figure2_T230K,593,230.0,30000.0,1.0,10000000000.0,10000.0,-1.4529381638164542,0.23388209366996998,11.259486012787766,-11.040943049490618,77612.67362825251,1.6031691925173563e-05,1.4516955836763292,6.582176869628435e-18,3.979039320256598e-13,5.126926679857547e-18,True,7,The solution converged.,complex_pair,unstable,physical_ode_state,analytic_sympy_transcribed_physical_ode_jacobian,python_analytic,0.00033497707628066557,0.013286823940846937,0.00033497707628066557,-0.013286823940846937,-0.006975859794023508,0.0,0.00033497707628066557,0.013286823940846937,-0.006975859794023508,0.0,0.00033497707628066557,-0.013286823940846937
python,figure2_T230K,594,230.0,30000.0,1.0,10000000000.0,10000.0,-1.4425706017663265,0.23631949390536724,11.269797021760759,-11.03058686278146,78417.07858902769,1.6198581799781037e-05,1.4517227932791243,9.718970834326052e-17,7.617018127348274e-12,9.713471243559244e-17,True,7,The solution converged.,complex_pair,unstable,physical_ode_state,analytic_sympy_transcribed_physical_ode_jacobian,python_analytic,0.00033514961572110396,0.0133508764259803,0.00033514961572110396,-0.0133508764259803,-0.006981675944596834,0.0,0.00033514961572110396,0.0133508764259803,-0.006981675944596834,0.0,0.00033514961572110396,-0.0133508764259803
python,figure2_T230K,595,230.0,30000.0,1.0,10000000000.0,10000.0,-1.4322030397161996,0.2387822954864351,11.28010803490487,-11.020230674612064,79229.82101532069,1.636720902148415e-05,1.4517500028881396,3.637546687315448e-17,2.8705926524708068e-12,3.6231291627766217e-17,True,7,The solution converged.,complex_pair,unstable,physical_ode_state,analytic_sympy_transcribed_physical_ode_jacobian,python_analytic,0.0003352826689672671,0.0134152661507859,0.0003352826689672671,-0.0134152661507859,-0.006987467994964361,0.0,0.0003352826689672671,0.0134152661507859,-0.006987467994964361,0.0,0.0003352826689672671,-0.0134152661507859
python,figure2_T230K,596,230.0,30000.0,1.0,10000000000.0,10000.0,-1.4218354776660718,0.24127076313308018,11.290419052219573,-11.009874484982632,80050.98732635542,1.6537591676556255e-05,1.4517772125033737,3.4831255153069996e-17,2.785327524179593e-12,3.479443815930871e-17,True,7,The solution converged.,complex_pair,unstable,physical_ode_state,analytic_sympy_transcribed_physical_ode_jacobian,python_analytic,0.0003353759243996685,0.013479994985275518,0.0003353759243996685,-0.013479994985275518,-0.006993235890490878,0.0,0.0003353759243996685,0.013479994985275518,-0.006993235890490878,0.0,0.0003353759243996685,-0.013479994985275518
python,figure2_T230K,597,230.0,30000.0,1.0,10000000000.0,10000.0,-1.411467915615944,0.24378516432398487,11.300730073704338,-10.999518293893368,80880.6648371401,1.6709748039556413e-05,1.4518044221248259,1.1008200849099724e-17,8.810729923425259e-13,1.0893557441391177e-17,True,7,The solution converged.,complex_pair,unstable,physical_ode_state,analytic_sympy_transcribed_physical_ode_jacobian,python_analytic,0.00033542906823999,0.013545064808842513,0.00033542906823999,-0.013545064808842513,-0.006998979578115221,0.0,0.00033542906823999,0.013545064808842513,-0.006998979578115221,0.0,0.00033542906823999,-0.013545064808842513
python,figure2_T230K,598,230.0,30000.0,1.0,10000000000.0,10000.0,-1.401100353565817,0.2463257693253582,11.311041099358636,-10.98916210134448,81718.94176775265,1.6883696575289543e-05,1.4518316317524953,7.968054075049956e-17,6.508571459562518e-12,7.964582058968379e-17,True,7,The solution converged.,complex_pair,unstable,physical_ode_state,analytic_sympy_transcribed_physical_ode_jacobian,python_analytic,0.0003354417845230044,0.01361047751029681,0.0003354417845230044,-0.01361047751029681,-0.007004699006355141,0.0,0.0003354417845230044,0.01361047751029681,-0.007004699006355141,0.0,0.0003354417845230044,-0.01361047751029681
python,figure2_T230K,599,230.0,30000.0,1.0,10000000000.0,10000.0,-1.3907327915156893,0.24889285121998694,11.32135212918194,-10.978805907336167,82565.90725272338,1.7059455940787103e-05,1.4518588413863815,2.908272647495972e-17,2.3590018827235334e-12,2.857116182297311e-17,True,7,The solution converged.,complex_pair,unstable,physical_ode_state,analytic_sympy_transcribed_physical_ode_jacobian,python_analytic,0.00033541375506816696,0.01367623498790372,0.00033541375506816696,-0.01367623498790372,-0.007010394125312182,0.0,0.00033541375506816696,0.01367623498790372,-0.007010394125312182,0.0,0.00033541375506816696,-0.01367623498790372
