curve_id,panel,color_name,pixel_x,pixel_y_median,pixel_y_min,pixel_y_max,pixels_in_column,temperature_K,w_m_s,log_w_ln_m_s,period_s,source_type,direct_digitization,validity
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,176,644.5,644,645,2,210.0,0.006371763466839909,-5.055879008332694,4428.571428571428,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,177,645.5,645,646,2,210.0,0.006518209321797668,-5.033155584661181,4371.428571428572,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,178,646.0,646,646,1,210.0,0.006668021024930093,-5.0104321609896685,4342.857142857143,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,179,646.5,646,647,2,210.0,0.006821275935435498,-4.987708737318156,4314.285714285715,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,180,647.5,647,648,2,210.0,0.006978053190502543,-4.964985313646643,4257.142857142857,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,181,648.5,648,649,2,210.0,0.007138433746174783,-4.94226188997513,4200.0,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,182,648.5,648,649,2,210.0,0.007302500419154454,-4.919538466303618,4200.0,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,183,649.5,649,650,2,210.0,0.007470337929567063,-4.896815042632107,4142.857142857142,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,184,650.5,650,651,2,210.0,0.0076420329447088285,-4.874091618960594,4085.714285714286,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,185,650.5,650,651,2,210.0,0.007817674123799597,-4.851368195289081,4085.714285714286,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,186,651.5,651,652,2,210.0,0.00799735216376436,-4.8286447716175696,4028.571428571429,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,187,652.5,652,653,2,210.0,0.008181159846067045,-4.8059213479460565,3971.428571428571,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,188,653.0,653,653,1,210.0,0.008369192084620553,-4.7831979242745435,3942.8571428571427,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,189,653.5,653,654,2,210.0,0.008561545974798105,-4.760474500603032,3914.285714285714,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,190,654.5,654,655,2,210.0,0.008758320843571019,-4.73775107693152,3857.142857142857,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,191,654.5,654,655,2,210.0,0.008959618300798703,-4.715027653260006,3857.142857142857,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,192,655.5,655,656,2,210.0,0.00916554229169762,-4.692304229588495,3800.0,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,193,656.0,656,656,1,210.0,0.00937619915051614,-4.669580805916983,3771.4285714285716,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,194,656.5,656,657,2,210.0,0.009591697655442993,-4.64685738224547,3742.857142857143,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,195,657.5,657,658,2,210.0,0.009812149084777726,-4.624133958573957,3685.714285714286,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,196,658.0,658,658,1,210.0,0.010037667274392172,-4.601410534902445,3657.1428571428573,direct_digitized_curve_pixel,True,valid_curve_pixel
