panel,pixel_x,temperature_K,upper_boundary_pixel_y,upper_boundary_w_m_s,upper_boundary_log_w_ln_m_s,lower_boundary_pixel_y,lower_boundary_w_m_s,lower_boundary_log_w_ln_m_s,direct_digitization,validity,edge_detector,vertical_color_run_pixels
upper_period_map,161,203.72282608695653,118,0.13443487074991256,-2.006675429561243,233,0.008198623992778074,-4.803788944551663,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,162,203.8586956521739,117,0.1377447831764007,-1.982352703343935,233,0.008198623992778074,-4.803788944551663,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,163,203.9945652173913,117,0.1377447831764007,-1.982352703343935,232,0.00840048179412399,-4.779466218334355,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,164,204.1304347826087,116,0.14113618874681724,-1.9580299771266272,232,0.00840048179412399,-4.779466218334355,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,165,204.2663043478261,116,0.14113618874681724,-1.9580299771266272,232,0.00840048179412399,-4.779466218334355,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,166,204.40217391304347,115,0.14461109389869037,-1.9337072509093192,231,0.008607309523594444,-4.755143492117047,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,167,204.53804347826087,115,0.14461109389869037,-1.9337072509093192,231,0.008607309523594444,-4.755143492117047,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,168,204.67391304347825,114,0.14817155446991928,-1.9093845246920111,230,0.008819229545474582,-4.730820765899739,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,169,204.80978260869566,114,0.14817155446991928,-1.9093845246920111,230,0.008819229545474582,-4.730820765899739,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,170,204.94565217391303,114,0.14817155446991928,-1.9093845246920111,230,0.008819229545474582,-4.730820765899739,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,171,205.08152173913044,113,0.15181967691505793,-1.885061798474702,229,0.009036367236772865,-4.70649803968243,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,172,205.2173913043478,113,0.15181967691505793,-1.885061798474702,229,0.009036367236772865,-4.70649803968243,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
