comparison,reference,variable,T_K,log_w,w_m_s,loca_value,reference_value,signed_diff,abs_diff,rel_diff,loca_residual_norm,reference_residual_norm,reference_converged
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-3.3211340660024025,0.0361118552960592,2.480463513352706e-06,2.4804635150759485e-06,-1.7232423678932487e-15,1.7232423678932487e-15,6.947259483639232e-10,7.102555672803039e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-3.2612194205313227,0.0383416149467605,2.633444883288484e-06,2.6334448860307897e-06,-2.7423055891525293e-15,2.7423055891525293e-15,1.0413377563734845e-09,7.77511663264865e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-3.2013047750602426,0.0407090531536904,2.7958614438885373e-06,2.7958614438885174e-06,1.9905274260476058e-20,1.9905274260476058e-20,7.119549612870451e-15,3.542121985024471e-18,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-3.141390129589163,0.0432226710056721,2.968295123023803e-06,2.9682951261096386e-06,-3.085835471021035e-15,3.085835471021035e-15,1.0395986045583847e-09,7.656872815683993e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-3.081475484118083,0.0458914944990611,3.1513637402536103e-06,3.151363742436121e-06,-2.182510831674582e-15,2.182510831674582e-15,6.925607483150834e-10,6.085956233434612e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-3.0215608386470034,0.0487251069486424,3.3457232205563456e-06,3.345723222871269e-06,-2.3149232571541105e-15,2.3149232571541105e-15,6.919051884894007e-10,7.347248548056731e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-2.9616461931759237,0.0517336833997683,3.552069944600732e-06,3.5520699482846193e-06,-3.68388731859467e-15,3.68388731859467e-15,1.0371100153513893e-09,5.3792341516324155e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-2.9017315477048435,0.0549280271653059,3.7711432439794895e-06,3.7711432439794628e-06,2.668153783851046e-20,2.668153783851046e-20,7.0751854576478074e-15,2.636054268072114e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-2.841816902233764,0.0583196086185909,4.00372805034663e-06,4.003728054492009e-06,-4.145379243862546e-15,4.145379243862546e-15,1.0353798228657439e-09,5.140435587624367e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-2.781902256762684,0.0619206063816889,4.250657707951159e-06,4.25065771088306e-06,-2.9319003618682483e-15,2.9319003618682483e-15,6.897521657322899e-10,4.4348397129163226e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-2.7219876112916044,0.0657439510568631,4.512816959645457e-06,4.512816962755225e-06,-3.1097679634292316e-15,3.1097679634292316e-15,6.890968521645102e-10,2.5498759855665882e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-2.662072965820524,0.0698033716582819,4.791145117068263e-06,4.791145122017054e-06,-4.948790841366197e-15,4.948790841366197e-15,1.0329035575701315e-09,5.3956754604645044e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-2.6021583203494445,0.0741134449106948,5.08663942636216e-06,5.086639426362124e-06,3.6422416731934915e-20,3.6422416731934915e-20,7.160408607531935e-15,6.603784062955213e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-2.542243674878365,0.0786896475921,5.400358641486151e-06,5.400358647054915e-06,-5.568763901614773e-15,5.568763901614773e-15,1.031184087125713e-09,2.016960717326269e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-2.482329029407285,0.083548412108359,5.7334268179278266e-06,5.73342682186644e-06,-3.938613419240088e-15,3.938613419240088e-15,6.869562552396762e-10,4.566365536378055e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-2.4224143839362053,0.0887071854993156,6.087037340409331e-06,6.087037344586913e-06,-4.17758174245126e-15,4.17758174245126e-15,6.863078877224738e-10,3.34241910079918e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-2.362499738465125,0.0941844920883028,6.462457199020129e-06,6.462457205668201e-06,-6.648071917731042e-15,6.648071917731042e-15,1.0287220025070403e-09,3.0396468569501814e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-2.302585092994045,0.1,6.861031529099326e-06,6.86103152909929e-06,3.6422416731934915e-20,3.6422416731934915e-20,5.308591948230884e-15,4.1582028777531986e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-2.2426704475229657,0.1061745917854978,7.284188431135995e-06,7.2841884386169266e-06,-7.480931462678937e-15,7.480931462678937e-15,1.027009601099689e-09,7.639347290042642e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-2.182755802051886,0.1127304394081711,7.73344408795882e-06,7.733444093249872e-06,-5.291052291396189e-15,5.291052291396189e-15,6.841779972282309e-10,4.20880996562153e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-2.122841156580806,0.1196910838596237,8.210408197552327e-06,8.210408203164385e-06,-5.612057449614835e-15,5.612057449614835e-15,6.835296505053043e-10,2.2489959416787618e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-2.062926511109726,0.1270815196915934,8.716789740967359e-06,8.716789749898264e-06,-8.930905331678424e-15,8.930905331678424e-15,1.0245635822273514e-09,2.487585834613111e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-2.0030118656386464,0.1349282847673563,9.254403105994968e-06,9.254403105994902e-06,6.606856988583543e-20,6.606856988583543e-20,7.139149778664435e-15,8.741057860683911e-18,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-1.9430972201675667,0.1432595555549146,9.82517458854695e-06,9.825174598596711e-06,-1.0049761316101996e-14,1.0049761316101996e-14,1.0228582927714446e-09,1.823889301256731e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-1.883182574696487,0.1521052483041491,1.043114929504072e-05,1.0431149302148633e-05,-7.107912552268246e-15,7.107912552268246e-15,6.814122151241898e-10,5.628162793416741e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-1.8232679292254068,0.1614971264712483,1.1074498470522255e-05,1.1074498478061453e-05,-7.539198012087613e-15,7.539198012087613e-15,6.807710549622396e-10,2.0157790444688092e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-1.763353283754327,0.1714689147761571,1.1757527278787407e-05,1.1757527290785077e-05,-1.1997669432375554e-14,1.1997669432375554e-14,1.020424544689655e-09,8.887075481178028e-18,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-1.7034386382832474,0.182056420302608,1.248268306238067e-05,1.248268306238058e-05,8.978549240895584e-20,8.978549240895584e-20,7.192803979742488e-15,3.9788084790199307e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-1.6435239928121677,0.1932976610755843,1.325256411207123e-05,1.3252564125572037e-05,-1.3500807324309458e-14,1.3500807324309458e-14,1.018731710813488e-09,7.307511943470581e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-1.5836093473410875,0.2052330025779169,1.4069928977230789e-05,1.4069928986779545e-05,-9.548756574394128e-15,9.548756574394128e-15,6.786641626525889e-10,2.0953770006425666e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-1.5236947018700078,0.2179053026962235,1.49377063504767e-05,1.4937706360604835e-05,-1.0128135580645542e-14,1.0128135580645542e-14,6.780248142617424e-10,7.318285665891635e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-1.463780056398928,0.2313600656166688,1.585900556200174e-05,1.585900557811939e-05,-1.6117647852215838e-14,1.6117647852215838e-14,1.016308858258635e-09,4.8821793663543055e-18,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-1.4038654109278483,0.2456456052231581,1.683712772119633e-05,1.683712772119624e-05,8.809142651444724e-20,8.809142651444724e-20,5.231974715232966e-15,2.7363532850574937e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-1.3439507654567686,0.2608132185847037,1.787557754548935e-05,1.7875577563626354e-05,-1.813700489165619e-14,1.813700489165619e-14,1.0146248325179599e-09,2.0162646341995814e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-1.2840361199856885,0.2769173701549275,1.897807591879525e-05,1.8978075931623077e-05,-1.282782609518876e-14,1.282782609518876e-14,6.75928694848028e-10,6.506343657742319e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-1.2241214745146092,0.2940158873451302,2.0148573224571126e-05,2.014857323817735e-05,-1.360622226866115e-14,1.360622226866115e-14,6.752945783218136e-10,4.231505899500342e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-1.164206829043529,0.3121701681732013,2.1391263501262404e-05,2.1391263522915023e-05,-2.1652618527366954e-14,2.1652618527366954e-14,1.0122178385662893e-09,2.1089121149218988e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-1.1042921835724488,0.3314454017339988,2.2710599470862647e-05,2.2710599470862488e-05,1.5924219408380846e-19,1.5924219408380846e-19,7.011800559827307e-15,1.0542897214262767e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-1.0443775381013696,0.3519108022828765,2.411130849444292e-05,2.411130851880838e-05,-2.4365461769515137e-14,2.4365461769515137e-14,1.0105408319299014e-09,9.112393713615256e-18,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-0.9844628926302894,0.3736398577729147,2.5598409511827397e-05,2.559840952906052e-05,-1.7233122481113972e-14,1.7233122481113972e-14,6.732106719970285e-10,7.136873597602382e-17,,True
