panel,value_name,value_unit,T_K,curve_color,w_m_s,value,x_px_page,y_px_page,x_px_panel,y_px_panel,candidate_pixels_in_column_window,source_pdf,source_page,source_render_dpi,source_image,digitization_method,point_index
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.023706077543689814,46128.317186038694,889,4877.0,293,577.0,50,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,44
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.02447374582458268,47436.578891006306,895,4874.0,299,574.0,51,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,45
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.025266273325158895,49238.82631706742,901,4870.0,305,570.0,51,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,46
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.026084465055627483,50635.30628420706,907,4867.0,311,567.0,50,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,47
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.02707256904367509,52559.08225102387,914,4863.0,318,563.0,51,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,48
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.027949253619552705,54049.729184445154,920,4860.0,324,560.0,53,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,49
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.028854327663911918,56103.22856360127,926,4856.0,330,556.0,51,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,50
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.029788710506170466,57694.39229842333,932,4853.0,336,553.0,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,51
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.030917134784267473,60447.24588814256,939,4848.0,343,548.0,51,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,52
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.031918317019760875,63331.45024843984,945,4843.0,349,543.0,69,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,53
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.0329519203018895,66353.27270315538,951,4838.0,355,538.0,83,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,54
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.03401899451370924,65431.89129712969,957,4839.5,361,539.5,50,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,55
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.03530766591550646,68553.93504633379,964,4834.5,368,534.5,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,56
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.036451025678240004,70170.38286703837,970,4832.0,374,532.0,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,57
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.03763141058871815,73176.64087948964,976,4827.5,380,527.5,50,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,58
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.03885001962350993,74553.77447774647,982,4825.5,386,525.5,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,59
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.0403216947850995,78111.0634537115,989,4820.5,393,520.5,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,60
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.04162742265430591,80701.6828598893,995,4817.0,399,517.0,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,61
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.042975433599100006,82604.56501097066,1001,4814.5,405,514.5,54,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,62
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.04436709686227987,84552.31562516934,1007,4812.0,411,512.0,51,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,63
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.045803826026508045,88586.67904100832,1013,4807.0,417,507.0,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,64
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.04753891789318475,91952.33309991071,1020,4803.0,424,503.0,51,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,65
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.04907835938481534,95002.00990674512,1026,4799.5,430,499.5,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,66
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.050667652244781196,98152.83182118695,1032,4796.0,436,496.0,49,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,67
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.052308410798107635,100467.19832671441,1038,4793.5,442,493.5,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,68
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.05428990243337089,104771.44048156386,1045,4789.0,449,489.0,51,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,69
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.05604795945457392,107241.86856893825,1051,4786.5,455,486.5,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,70
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.05786294721890353,111836.35292947691,1057,4782.0,461,482.0,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,71
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.05973670930109808,115545.5000515993,1063,4778.5,467,478.5,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,72
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.06199959184698806,118822.52731208176,1070,4775.5,474,475.5,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,73
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.06400730991006784,122763.37680939026,1076,4772.0,480,472.0,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,74
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.06608004343051978,128022.837711408,1082,4767.5,486,467.5,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,75
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.06821989778846421,131041.51544127362,1088,4765.0,492,465.0,51,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,76
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.07080413146644944,135387.61800225446,1095,4761.5,499,461.5,50,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,77
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.07309696484568684,141187.92996830415,1101,4757.0,505,457.0,50,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,78
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.07546404650388848,145870.54693857126,1107,4753.5,511,453.5,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,79
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.0779077808054444,150708.46685644277,1113,4750.0,517,450.0,51,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,80
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.08043064997470577,152830.6732658769,1119,4748.5,523,448.5,50,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,81
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.08347743839194117,160870.9893779057,1126,4743.0,530,443.0,51,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,82
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.08618066846049968,165433.50905523417,1132,4740.0,536,440.0,51,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,83
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.08897143658657794,171718.7876914555,1138,4736.0,542,436.0,51,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,84
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.09185257749430975,177413.98634999682,1144,4732.5,548,432.5,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,85
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.09533203923297401,183298.07108324376,1151,4729.0,555,429.0,53,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,86
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.09841915402609454,188496.6532475457,1157,4726.0,561,426.0,31,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,87
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.10887010765287994,210807.7823861775,1176,4714.0,580,414.0,42,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,88
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.11239562250148691,214775.03855438763,1182,4712.0,586,412.0,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,89
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.11603530326042238,222934.93898283542,1188,4708.0,592,408.0,51,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,90
