branch_id,backend_a,backend_b,canonical_index,T_K,log_w_a,log_w_b,w_m_s_a,w_m_s_b,delta_log_w_a_minus_b,delta_w_m_s_a_minus_b,relative_delta_w_a_minus_b
lower_hopf,python,loca,13,203.0,-4.8874402125722,-4.887426779180546,0.0075407003808278675,0.007540801678689809,-1.3433391653272508e-05,-1.012978619414559e-07,-1.3433301425725348e-05
lower_hopf,python,loca,14,204.0,-4.809121432778487,-4.80910942414383,0.008155021285643415,0.008155119216902667,-1.2008634657334483e-05,-9.79312592512549e-08,-1.2008562553969558e-05
lower_hopf,python,loca,15,205.0,-4.731545157569255,-4.731534546758333,0.00881284328241743,0.008812936794327306,-1.0610810922351277e-05,-9.351190987522129e-08,-1.0610754627834488e-05
lower_hopf,python,loca,16,206.0,-4.654704823177963,-4.654695584093875,0.009516721943150884,0.009516809869351339,-9.239084088008553e-06,-8.792620045418309e-08,-9.239041407914152e-06
lower_hopf,python,loca,17,207.0,-4.578594349079393,-4.578586456545509,0.010269321236663942,0.010269402287949609,-7.892533883335773e-06,-8.105128566741893e-08,-7.892502737235902e-06
lower_hopf,python,loca,18,208.0,-4.503208167440596,-4.503201597228276,0.011073414124939375,0.011073486879860291,-6.570212319978452e-06,-7.275492091597668e-08,-6.5701907362439206e-06
lower_hopf,python,loca,19,209.0,-4.4285412541398985,-4.428535983027068,0.011931882568097808,0.011931945462562868,-5.2711128306626165e-06,-6.289446505963747e-08,-5.271098938305769e-06
lower_hopf,python,loca,20,210.0,-4.354589161456799,-4.354585167232023,0.012847716837323758,0.012847768154095147,-3.994224775816235e-06,-5.131677138954516e-08,-3.994216798906684e-06
lower_hopf,python,loca,21,211.0,-4.281348052498943,-4.281345314007906,0.013824014023369845,0.013824051880360184,-2.7384910374905758e-06,-3.785699033941048e-08,-2.738487287738978e-06
lower_hopf,python,loca,22,212.0,-4.208814737393864,-4.20881323450548,0.01486397561587758,0.014863997954790651,-1.5028883835199736e-06,-2.2338913071781596e-08,-1.5028872541375577e-06
