backend,branch_id,canonical_index,T_K,log_w,w_m_s,table_ii_reference_log_w,table_ii_reference_w_m_s,delta_to_table_ii_log_w,delta_to_table_ii_w_m_s,relative_delta_to_table_ii_w,interpolation_method,raw_T_min_K,raw_T_max_K
loca,upper_hopf,25,215.0,-1.16237175539702,0.31274354935948956,-1.158684749999999,0.31389876484806495,-0.003687005397021048,-0.0011552154885753896,-0.003680216738458794,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,26,216.0,-1.0956097768717166,0.3343356746165459,-1.0921429599999968,0.33549676665795103,-0.003466816871719791,-0.0011610920414051318,-0.00346081440060166,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,27,217.0,-1.0297905482292953,0.3570817441406948,-1.0265849899999964,0.35822822704127233,-0.0032055582292989104,-0.0011464829005775057,-0.003200425912962511,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,28,218.0,-0.9649172767187558,0.3810147172233154,-0.9620108399999978,0.3821237232350551,-0.00290643671875801,-0.0011090060117396883,-0.00290221712054634,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,29,219.0,-0.9009942974880082,0.4061656094555983,-0.8984205100000011,0.40721233987227035,-0.0025737874880070732,-0.001046730416672026,-0.0025704781367881734,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,30,220.0,-0.8380271172542042,0.4325630783908875,-0.8358139999999991,0.4335214513078588,-0.0022131172542051436,-0.0009583729169713173,-0.00221067011581566,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,31,221.0,-0.7760224582345687,0.4602329713570003,-0.7741913099999991,0.4610764982256569,-0.0018311482345696461,-0.0008435268686565744,-0.0018294727055113127,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,32,222.0,-0.7149883014475406,0.4891978346693887,-0.7135524399999937,0.48990075951098594,-0.0014358614475468157,-0.00070292484159723,-0.001434831091706987,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,33,223.0,-0.6549339284667486,0.519476384054382,-0.6538973900000045,0.520015120471294,-0.001036538466744119,-0.0005387364169119335,-0.0010360014463111618,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,34,224.0,-0.5958699605238026,0.5510829368685151,-0.5952261599999957,0.5514378385826285,-0.0006438005238068589,-0.0003549017141134536,-0.0006435933287161875,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,35,225.0,-0.5378083938355824,0.5840268075691634,-0.537538750000003,0.5841843080311976,-0.0002696438355794806,-0.0001575004620342213,-0.00026960748494773024,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,36,226.0,-0.4807626299527049,0.6183116689551639,-0.48083516000000504,0.6182668244068766,7.253004730012336e-05,4.4844548287237274e-05,7.253267766753957e-05,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,37,227.0,-0.4247475023235071,0.6539348813238793,-0.4251153899999948,0.6536943509866011,0.00036788767648771037,0.00024053033727822193,0.00036795535545809254,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,38,228.0,-0.3697793428783026,0.6908867629036247,-0.3703794400000007,0.6904722881207873,0.0006000971216981177,0.000414474782837404,0.000600277215998708,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,39,229.0,-0.3158769518218651,0.7291491651242368,-0.3166273100000012,0.7286022473028959,0.0007503581781361235,0.0005469178213408643,0.0007506397672604194,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,40,230.0,-0.2630805209178614,0.7686800000000379,-0.26385900000000356,0.7680818315601948,0.0007784790821421805,0.0005981684398430609,0.0007787821756283558,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,41,231.0,-0.2113537672141809,0.8094876460316599,-0.21207451000000072,0.8089044238524087,0.0007207427858198223,0.0005832221792512193,0.0007210025833133941,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,42,232.0,-0.1607667945924747,0.8514906201719747,-0.16127383999999972,0.8510589852019781,0.0005070454075250252,0.00043163496999665263,0.0005071739767769617,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
