backend,branch_id,canonical_index,T_K,log_w,w_m_s,table_ii_reference_log_w,table_ii_reference_w_m_s,delta_to_table_ii_log_w,delta_to_table_ii_w_m_s,relative_delta_to_table_ii_w,interpolation_method,raw_T_min_K,raw_T_max_K
auto,upper_hopf,39,229.0,-0.3158869889187431,0.7291418466201562,-0.3166273100000012,0.7286022473028959,0.0007403210812580996,0.0005395993172603308,0.0007405951865476577,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,upper_hopf,40,230.0,-0.26306738167,0.7686900999434367,-0.26385900000000356,0.7680818315601948,0.000791618330003574,0.0006082683832419056,0.0007919317424893878,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,upper_hopf,41,231.0,-0.21135457080928577,0.8094869955316115,-0.21207451000000072,0.8089044238524087,0.0007199391907149466,0.0005825716792028368,0.000720198409137557,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,upper_hopf,42,232.0,-0.16076801946457925,0.8514895772055056,-0.16127383999999972,0.8510589852019781,0.0005058205354204759,0.0004305920035274635,0.0005059484841996857,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,upper_hopf,43,233.0,-0.11132982049704628,0.8946436284570989,-0.11145698999999354,0.8945298643053717,0.0001271695029472636,0.00011376415172714704,0.00012717758933122728,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,upper_hopf,44,234.0,-0.06306753556488494,0.9388800637524797,-0.06262395999999623,0.9392966203874636,-0.00044357556488870686,-0.00041655663498396667,-0.00044347719979247386,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,upper_hopf,45,235.0,-0.016005653473696604,0.9841217563330943,-0.014774749999993677,0.9853338610604303,-0.0012309034737029278,-0.0012121047273360164,-0.001230146222754927,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,upper_hopf,46,236.0,0.029829054352044995,1.030278397290849,0.03209063999999977,1.0326110969333075,-0.002261585647954773,-0.0023326996424586355,-0.0022590301899586265,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,upper_hopf,47,237.0,0.07440883920136007,1.0772471363367193,0.07797220999999159,1.0810926146888526,-0.0035633707986315183,-0.0038454783521333358,-0.0035570295272436916,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,upper_hopf,48,238.0,0.11770520603907045,1.1249124450877497,0.12286995999999567,1.1307373702988248,-0.005164753960925222,-0.005824925211075138,-0.005151439550932822,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,upper_hopf,49,239.0,0.15968909082737684,1.173146072410397,0.166783890000005,1.181498903988153,-0.007094799172628147,-0.008352831577755904,-0.007069690500398178,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,upper_hopf,50,240.0,0.20033108014,1.2218072073051833,0.2097139999999982,1.233325278481749,-0.009382919859998201,-0.01151807117656567,-0.009339037622535941,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,0,190.0,-5.97682099160565,0.0025368782440702052,-5.975287000000002,0.002540772780330431,-0.0015339916056484881,-3.894536260225841e-06,-0.001532815641908503,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,1,191.0,-5.888081852200697,0.002772289260689143,-5.887134570000001,0.0027749166452017957,-0.0009472822006966197,-2.6273845126528923e-06,-0.0009468336705522285,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,2,192.0,-5.800202648069234,0.003026941279413109,-5.799722080000002,0.0030283962803249226,-0.0004805680692321346,-1.455000911813626e-06,-0.00048045261489276304,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,3,193.0,-5.713172913582953,0.0033021783785318706,-5.713049529999999,0.003302585838268172,-0.00012338358295416185,-4.074597363015568e-07,-0.0001233759715130441,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,4,194.0,-5.6269823094988025,0.0035994208930600195,-5.627116919999999,0.003598936405818855,0.00013461050119634166,4.844872411643303e-07,0.000134619561596309,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,5,195.0,-5.541620660406213,0.003920168425530483,-5.541924250000001,0.003918978483826695,0.0003035895937877342,1.1899417037882637e-06,0.0003036356817724456,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,6,196.0,-5.457077987908252,0.004266002862592442,-5.457471519999999,0.0042643243838518165,0.00039353209174652903,1.6784787406258841e-06,0.0003936095356586762,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,7,197.0,-5.373344540592315,0.004638591380642547,-5.373758730000002,0.0046366705230529905,0.0004141894076870045,1.9208575895565336e-06,0.00041427519596362334,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,8,198.0,-5.290410821680247,0.005039689420671598,-5.290785880000001,0.0050377995976444755,0.0003750583197543733,1.8898230271227265e-06,0.0003751286629198889,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,9,199.0,-5.208267614880746,0.005471143610271599,-5.208552970000003,0.005469582614163923,0.0002853551192574244,1.5609961076766543e-06,0.00028539583690249595,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,10,200.0,-5.126906009282269,0.005934894605058758,-5.12706,0.005933980756742751,0.000153990717731034,9.138483160068059e-07,0.0001540025749103424,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,11,201.0,-5.046317423557812,0.006432979819681457,-5.046306970000003,0.006433047067559374,-1.045355780870949e-05,-6.724787791640569e-08,-1.0453503170453062e-05,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,12,202.0,-4.96649363006621,0.006967536011909178,-4.966293880000002,0.006968927916700771,-0.000199750066207649,-1.3919047915922356e-06,-0.00019973011749147078,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,13,203.0,-4.887426779180546,0.007540801678689809,-4.887020729999996,0.007543864236764652,-0.00040604918055020534,-3.0625580748431386e-06,-0.0004059667537384769,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,14,204.0,-4.80910942414383,0.008155119216902667,-4.80848752,0.008160192496720443,-0.0006219041438297879,-5.073279817776125e-06,-0.0006217108015301185,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,15,205.0,-4.731534546758333,0.008812936794327306,-4.730694249999999,0.008820345388820013,-0.0008402967583336363,-7.408594492707213e-06,-0.0008399438078805591,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,16,206.0,-4.654695584093875,0.009516809869351339,-4.653640920000001,0.0095268522017216,-0.0010546640938740026,-1.0042332370261559e-05,-0.0010541081311670612,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,17,207.0,-4.578586456545509,0.010269402287949609,-4.577327529999998,0.0102823388524801,-0.0012589265455114074,-1.2936564530491648e-05,-0.001258134429928007,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,18,208.0,-4.503201597228276,0.011073486879860291,-4.501754080000005,0.011089527549668035,-0.001447517228271522,-1.6040669807744143e-05,-0.0014464700805242438,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,19,209.0,-4.428535983027068,0.011931945462562868,-4.42692057,0.011951236059647274,-0.0016154130270678024,-1.9290597084406155e-05,-0.0016141089497461983,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,20,210.0,-4.354585167232023,0.012847768154095147,-4.352827000000005,0.012870376547913,-0.0017581672320181596,-2.2608393817853678e-05,-0.0017566225614059246,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,21,211.0,-4.281345314007906,0.013824051880360184,-4.279473370000002,0.013849953967507211,-0.001871944007904247,-2.5902087147026964e-05,-0.0018701930134782216,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,22,212.0,-4.20881323450548,0.014863997954790651,-4.206859679999997,0.014893063966740118,-0.0019535545054827352,-2.9066011949466924e-05,-0.0019516475598559497,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,23,213.0,-4.136986424878305,0.01597090858911969,-4.134985930000006,0.016002890288901468,-0.0020004948782990084,-3.1981699781778034e-05,-0.001998495222076127,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,24,214.0,-4.065863105831142,0.01714818218844077,-4.06385212,0.017182701637279592,-0.0020109858311423423,-3.4519448838820493e-05,-0.002008965153880522,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,25,215.0,-3.99544226382341,0.018399307263046352,-3.9934582500000033,0.018435847979654474,-0.0019840138234066274,-3.654071660812164e-05,-0.0019820469689513292,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,26,216.0,-3.925723693616205,0.0197278547816206,-3.923804319999995,0.019765756267513142,-0.001919373616209974,-3.790148589254139e-05,-0.0019175327965991365,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,27,217.0,-3.856708041985752,0.021137468775109584,-3.8548903300000035,0.02117592554652898,-0.001817711985748538,-3.8456771419396324e-05,-0.0018160609478389438,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,28,218.0,-3.7883968521571822,0.02263185499329553,-3.7867162800000003,0.022669921436405522,-0.001680572157181981,-3.806644310999294e-05,-0.0016791607865416865,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,29,219.0,-3.7207926086284737,0.024214767403897577,-3.7192821700000067,0.024251369959962226,-0.0015104386284670035,-3.660255606464935e-05,-0.0015092984901503832,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,30,220.0,-3.653898781926918,0.02588999231822513,-3.6525880000000015,0.02592395070340052,-0.0013107819269166932,-3.395838517538871e-05,-0.0013099232275169499,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,31,221.0,-3.5877198727006734,0.027661329926011786,-3.586633769999999,0.02769138929197307,-0.0010861027006745516,-3.005936596128453e-05,-0.0010855131046096653,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,32,222.0,-3.522261452276534,0.02953257308904298,-3.5214194799999987,0.029557449167853467,-0.0008419722765351523,-2.487607881048598e-05,-0.0008416179173384514,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,33,223.0,-3.4575302052661434,0.031507483017036216,-3.456945130000001,0.03152592265981132,-0.0005850752661422653,-1.8439642775106013e-05,-0.0005849041429836576,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,34,224.0,-3.393533988691591,0.03358976106397234,-3.393210720000006,0.033600621337380746,-0.0003232686915848326,-1.086027340840845e-05,-0.00032321644589132574,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,35,225.0,-3.330281692173289,0.035783023850066736,-3.3302162499999994,0.035785365645539614,-6.544217328974256e-05,-2.3417954728779944e-06,-6.544003199726651e-05,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,36,226.0,-3.2677836631410844,0.038090755535995204,-3.2679617200000024,0.03808397381949414,0.0001780568589180298,6.781716501064183e-06,0.0001780727119813534,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,37,227.0,-3.206053246018842,0.04051620562484315,-3.206447130000001,0.04050025008299265,0.00039388398115880463,1.595554185050002e-05,0.00039396156363983204,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,38,228.0,-3.1450905543721417,0.043063024325134876,-3.145672480000009,0.04303797213762855,0.0005819256278671858,2.505218750632754e-05,0.0005820949794338509,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,39,229.0,-3.0849341767201803,0.045733044100105355,-3.085637769999998,0.04570087795487968,0.0007035932798178379,3.2166145225671905e-05,0.0007038408596313933,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,40,230.0,-3.025552509966718,0.048530999999987987,-3.026342999999997,0.048492651887080344,0.0007904900332791343,3.834811290764212e-05,0.0007908025528679947,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,41,231.0,-2.9670311705099777,0.051455847428846305,-2.9677881699999986,0.05141691011820563,0.0007569994900209487,3.893731064067568e-05,0.0007572860864482172,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,42,232.0,-2.90935647598883,0.05451079759163721,-2.9099732799999956,0.054477185480139086,0.0006168040111655948,3.361211149812554e-05,0.0006169942738759809,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,43,233.0,-2.852523056947153,0.05769856031761885,-2.852898330000002,0.057676911665075485,0.0003752730528492343,2.1648652543365676e-05,0.00037534347659038,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
