comparison,reference,variable,T_K,log_w,w_m_s,auto_value,reference_value,signed_diff,abs_diff,rel_diff,auto_residual_norm,reference_residual_norm,reference_converged
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-2.9148283292,0.0542133370811096,105109.73356568078,105109.73387585768,-0.00031017689616419375,0.00031017689616419375,2.950981652475074e-09,1.5503167809640592e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-2.8859030789,0.0558043710239642,108178.15279624915,108178.15311761374,-0.0003213645832147449,0.0003213645832147449,2.970697631206091e-09,1.3373432546965757e-13,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-2.856977843,0.0574420972440364,111336.14895656864,111336.14922152874,-0.00026496010832488537,0.00026496010832488537,2.379821021092499e-09,1.1259406022490254e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-2.8280526213,0.0591278860131249,114586.33725559474,114586.33729754358,-4.194883513264358e-05,4.194883513264358e-05,3.660893272442774e-10,1.7135327886524026e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-2.799127414,0.0608631477918421,117931.40890821816,117931.40906919878,-0.0001609806204214692,0.0001609806204214692,1.3650360128149609e-09,1.7077285727133717e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-2.7702022209,0.0626493344562998,121374.134163162,121374.13441641019,-0.0002532481885282323,0.0002532481885282323,2.086508709173478e-09,1.7082543756502948e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-2.7412770422,0.0644879404647598,124917.36366654414,124917.36406004752,-0.00039350337465293705,0.00039350337465293705,3.150109495296273e-09,1.109452797995353e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-2.7123518777,0.0663805041573711,128564.03178049027,128564.03213321777,-0.000352727496647276,0.000352727496647276,2.7435939181012968e-09,1.960738744473376e-13,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-2.6834267275,0.0683286089991286,132317.15802748565,132317.1583921898,-0.0003647041448857635,0.0003647041448857635,2.756287614677876e-09,1.6505951336921949e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-2.6545015916,0.0703338849298803,136179.85060558916,136179.8507658726,-0.00016028343816287816,0.00016028343816287816,1.176998192180763e-09,5.843554455751945e-14,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-2.62557647,0.0723980097217066,140155.30805851665,140155.3081259127,-6.739606033079326e-05,6.739606033079326e-05,4.808669841476571e-10,1.2283577997790145e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-2.5966513626,0.0745227103900338,144246.82244257582,144246.82267177905,-0.0002292032295372337,0.0002292032295372337,1.5889655334645774e-09,1.6611670664142685e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-2.5677262695,0.0767097646165647,148457.78177601562,148457.78223165273,-0.0004556371131911874,0.0004556371131911874,3.0691359276822125e-09,1.3440609429439005e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-2.5388011906,0.0789610022659266,152791.67343449465,152791.6738943508,-0.0004598561499733478,0.0004598561499733478,3.009693776189137e-09,1.4815399824011817e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-2.509876126,0.0812783068863063,157252.08616110528,157252.0865227843,-0.00036167900543659925,0.00036167900543659925,2.2999949535435606e-09,1.6031548858112729e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-2.4809510756,0.083663617316415,161842.71361966082,161842.71378609393,-0.00016643310664221644,0.00016643310664221644,1.0283632963680379e-09,7.136584508043545e-13,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-2.4520260395,0.0861189292754883,166567.35714286644,166567.3572121093,-6.92428438924253e-05,6.92428438924253e-05,4.1570476383467173e-10,7.888083743456669e-13,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-2.4231010176,0.0886462970659476,171429.92954202276,171429.92983081835,-0.0002887955924961716,0.0002887955924961716,1.6846276072164275e-09,9.032640534968853e-13,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-2.3941760099,0.0912478352672101,176434.45736228075,176434.4577779227,-0.0004156419599894434,0.0004156419599894434,2.355786761974864e-09,1.4011619290705301e-12,,True
