T_K,p_Pa,F,log_w,w_m_s,log_n,log_q,n,q,s,converged,iterations,message,residual_norm
210.0,30000.0,1.0,-2.377478399832895,0.09278424754944857,11.0671480125236,-13.073438129597672,64032.62592483266,2.1002836947990023e-06,1.5303085154528442,True,7,The solution converged.,1.1431199048023236e-17
210.0,30000.0,1.0,-2.3525139642199453,0.09512970866899027,11.091986506999236,-13.048495084584193,65643.01700157036,2.153329983295531e-06,1.5303824460743312,True,7,The solution converged.,1.183783623507522e-17
210.0,30000.0,1.0,-2.3275495286069954,0.09753445989443438,11.116825023366749,-13.023552032199987,67293.91014603997,2.207716063605437e-06,1.5304563767320623,True,7,The solution converged.,7.580592288029772e-18
210.0,30000.0,1.0,-2.3025850929940455,0.10000000000000002,11.141663561619643,-12.998608972447522,68986.32404025954,2.2634757752990097e-06,1.530530307426026,True,7,The solution converged.,4.367167325067605e-17
210.0,30000.0,1.0,-2.2776206573810955,0.10252786564690491,11.16650212175143,-12.973665905329264,70721.30298839344,2.3206438126539937e-06,1.5306042381562113,True,7,The solution converged.,4.004512464323427e-17
210.0,30000.0,1.0,-2.2526562217681456,0.10511963234109784,11.191340703755625,-12.948722830847682,72499.91756122911,2.3792557462437164e-06,1.5306781689226068,True,7,The solution converged.,4.411516713478305e-17
210.0,30000.0,1.0,-2.2276917861551957,0.10777691541520117,11.216179307625739,-12.923779749005238,74323.26525686512,2.4393480450705292e-06,1.5307520997252013,True,7,The solution converged.,1.9343147567981014e-17
210.0,30000.0,1.0,-2.2027273505422458,0.11050137103527578,11.241017933355295,-12.898836659804397,76192.4711780197,2.5009580992582498e-06,1.5308260305639834,True,7,The solution converged.,1.470151335787412e-17
210.0,30000.0,1.0,-2.177762914929296,0.11329469723303544,11.265856580937813,-12.873893563247623,78108.68872637398,2.5641242433178158e-06,1.5308999614389416,True,7,The solution converged.,3.841616804028711e-17
210.0,30000.0,1.0,-2.152798479316346,0.11615863496415425,11.290695250366815,-12.848950459337376,80073.10031438245,2.62888578000058e-06,1.530973892350065,True,7,The solution converged.,1.4822775266719403e-17
210.0,30000.0,1.0,-2.127834043703396,0.11909496919332677,11.31553394163583,-12.824007348076117,82086.91809498827,2.695283004754066e-06,1.5310478232973421,True,7,The solution converged.,3.731130596830174e-17
210.0,30000.0,1.0,-2.102869608090446,0.12210553000675683,11.340372654738387,-12.799064229466305,84151.38470969316,2.763357230795491e-06,1.5311217542807618,True,7,The solution converged.,3.3379905520359084e-17
210.0,30000.0,1.0,-2.077905172477496,0.1251921937527688,11.365211389668017,-12.774121103510401,86267.77405544456,2.8331508148185353e-06,1.5311956853003128,True,7,The solution converged.,1.2861968180130499e-17
210.0,30000.0,1.0,-2.0529407368645463,0.12835688421125166,11.39005014641826,-12.749177970210859,88437.39207081399,2.9047071833494966e-06,1.5312696163559836,True,7,The solution converged.,3.305253070735379e-17
210.0,30000.0,1.0,-2.0279763012515963,0.13160157379266538,11.414888924982646,-12.724234829570136,90661.57754194946,2.978070859769071e-06,1.5313435474477632,True,7,The solution converged.,1.982868645841274e-17
210.0,30000.0,1.0,-2.0030118656386464,0.13492828476735635,11.439727725354722,-12.699291681590688,92941.7029288031,3.053287492016728e-06,1.5314174785756403,True,7,The solution converged.,3.151637384133433e-17
210.0,30000.0,1.0,-1.9780474300256965,0.13833909052594837,11.464566547528028,-12.67434852627497,95279.17521213995,3.1304038809948108e-06,1.5314914097396035,True,7,The solution converged.,4.094928589935229e-17
210.0,30000.0,1.0,-1.9530829944127466,0.14183611687159448,11.48940539149611,-12.649405363625435,97675.4367618535,3.2094680096900954e-06,1.531565340939642,True,7,The solution converged.,2.0884891894844595e-17
210.0,30000.0,1.0,-1.9281185587997967,0.1454215433448954,11.514244257252518,-12.624462193644534,100131.9662271234,3.290529073030901e-06,1.531639272175744,True,7,The solution converged.,3.1795492730153914e-17
210.0,30000.0,1.0,-1.9031541231868467,0.14909760458230992,11.539083144790803,-12.599519016334717,102650.27944896359,3.373637508498346e-06,1.5317132034478986,True,7,The solution converged.,6.789913782656907e-18
210.0,30000.0,1.0,-1.8781896875738968,0.1528665917089042,11.563922054104518,-12.574575831698436,105231.93039572523,3.458845027510776e-06,1.5317871347560945,True,7,The solution converged.,7.375690347248023e-18
210.0,30000.0,1.0,-1.853225251960947,0.15673085376630796,11.588760985187223,-12.549632639738139,107878.51212213258,3.5462046476009348e-06,1.5318610661003205,True,7,The solution converged.,1.0510077942329927e-17
210.0,30000.0,1.0,-1.828260816347997,0.1606927991767672,11.613599938032475,-12.524689440456271,110591.65775244069,3.6357707254058817e-06,1.5319349974805652,True,7,The solution converged.,3.779581756001468e-17
210.0,30000.0,1.0,-1.803296380735047,0.16475489724420658,11.638438912633836,-12.499746233855282,113373.04148832563,3.7275989904901213e-06,1.5320089288968177,True,7,The solution converged.,2.523179451685073e-17
210.0,30000.0,1.0,-1.7783319451220971,0.16891967969323635,11.663277908984874,-12.474803019937616,116224.37964212774,3.821746580023134e-06,1.5320828603490666,True,7,The solution converged.,3.913240025447285e-17
210.0,30000.0,1.0,-1.7533675095091472,0.17318974224706346,11.688116927079154,-12.449859798705718,119147.43169608302,3.9182720743327336e-06,1.532156791837301,True,7,The solution converged.,1.694185621425752e-17
210.0,30000.0,1.0,-1.7284030738961973,0.1775677462452901,11.712955966910247,-12.424916570162033,122144.00138820207,4.01723553335649e-06,1.5322307233615091,True,7,The solution converged.,2.6198779950477426e-17
210.0,30000.0,1.0,-1.7034386382832474,0.18205642030260805,11.737795028471727,-12.399973334309,125215.93782546157,4.118698534013836e-06,1.5323046549216803,True,7,The solution converged.,7.392798782373056e-18
