T_K,p_Pa,F,log_w,w_m_s,source,n_continuation,q_continuation,s_continuation,n_check,q_check,s_check,abs_diff_n,abs_diff_q,abs_diff_s,rel_diff_n,rel_diff_q,rel_diff_s,check_converged,check_iterations,check_message,check_residual_norm
210.0,30000.0,1.0,-1.1791854904112986,0.3075291220361377,root_solve,214739.55317332383,6.975300055326724e-06,1.523472890590888,214739.55317332345,6.975300055326724e-06,1.5234728905908899,3.7834979593753815e-10,0.0,1.7763568394002505e-15,1.7619008251924542e-15,0.0,1.1659917615673999e-15,True,10.0,The solution converged.,3.1275336892078216e-16
210.0,30000.0,1.0,-1.1791854904112986,0.3075291220361377,analytic_eq92_94,214739.55317332383,6.975300055326724e-06,1.523472890590888,214680.88729824297,6.974974205600572e-06,1.5236317900744356,58.665875080856495,3.2584972615190316e-10,0.00015889948354752548,0.00027319547896006475,4.671479700763071e-05,0.00010428995022462913,True,,direct formula,
210.0,30000.0,1.0,-0.8047189562170498,0.4472135954999581,root_solve,311679.33947261336,1.014023763179091e-05,1.5245818028144593,311679.33947261225,1.014023763179091e-05,1.524581802814461,1.1059455573558807e-09,0.0,1.7763568394002505e-15,3.548344138649774e-15,0.0,1.1651436716094859e-15,True,10.0,The solution converged.,3.313811388782848e-16
210.0,30000.0,1.0,-0.8047189562170498,0.4472135954999581,analytic_eq92_94,311679.33947261336,1.014023763179091e-05,1.5245818028144593,311593.0431895243,1.0139758721292196e-05,1.524743253341177,86.29628308903193,4.789104987145548e-10,0.00016145052671778792,0.0002768752116680311,4.722872541104073e-05,0.00010588702482467171,True,,direct formula,
210.0,30000.0,1.0,-0.430252422022801,0.6503449126242365,root_solve,452382.89381507854,1.474124317228167e-05,1.5256907233960662,452382.8938150777,1.474124317228167e-05,1.5256907233960681,8.149072527885437e-10,0.0,1.9984014443252818e-15,1.8013661964894165e-15,0.0,1.3098339091142906e-15,True,10.0,The solution converged.,3.614423542515235e-16
210.0,30000.0,1.0,-0.430252422022801,0.6503449126242365,analytic_eq92_94,452382.89381507854,1.474124317228167e-05,1.5256907233960662,452255.99110270094,1.4740539519796058e-05,1.5258547166079188,126.90271237760317,7.036524856115714e-10,0.00016399321185267546,0.0002805205813760886,4.773359189506261e-05,0.00010747629513329013,True,,direct formula,
210.0,30000.0,1.0,-0.055785887828552205,0.945741609003176,root_solve,656608.5202921209,2.1429933528701008e-05,1.5267996522963456,656608.5202921185,2.1429933528701008e-05,1.526799652296348,2.3283064365386963e-09,0.0,2.4424906541753444e-15,3.545958306332741e-15,0.0,1.599745356571029e-15,True,10.0,The solution converged.,4.3934954035125857e-16
210.0,30000.0,1.0,-0.055785887828552205,0.945741609003176,analytic_eq92_94,656608.5202921209,2.1429933528701008e-05,1.5267996522963456,656421.9568621655,2.1428899973773462e-05,1.5269661798746603,186.56342995539308,1.033554927546001e-09,0.00016652757831470133,0.00028413190537398484,4.8229497593250385e-05,0.0001090578039707275,True,,direct formula,
210.0,30000.0,1.0,0.3186806463656966,1.3753120438672644,root_solve,953035.380644564,3.1153602161560386e-05,1.5279085894761906,953035.3806445607,3.1153602161560386e-05,1.5279085894761932,3.3760443329811096e-09,0.0,2.6645352591003757e-15,3.5424123821067358e-15,0.0,1.7439101248942174e-15,True,10.0,The solution converged.,4.821694515960433e-16
210.0,30000.0,1.0,0.3186806463656966,1.3753120438672644,analytic_eq92_94,953035.380644564,3.1153602161560386e-05,1.5279085894761906,952761.1833140069,3.115208446577723e-05,1.528077643141402,274.19733055715915,1.517695783155896e-09,0.00016905366521147158,0.00028770949759673344,4.87165424815157e-05,0.00011063159386582822,True,,direct formula,
210.0,30000.0,1.0,0.6931471805599453,2.0,root_solve,1383291.4549675472,4.528938711304942e-05,1.5290175348967476,1383291.4549675398,4.528938711304942e-05,1.5290175348967505,7.450580596923828e-09,0.0,2.886579864025407e-15,5.3861249342414416e-15,0.0,1.8878657687992626e-15,True,10.0,The solution converged.,5.326486532539747e-16
210.0,30000.0,1.0,0.6931471805599453,2.0,analytic_eq92_94,1383291.4549675472,4.528938711304942e-05,1.5290175348967476,1382888.566256428,4.528715910955848e-05,1.5291891064081435,402.8887111193035,2.2280034909426217e-09,0.0001715715113959071,0.0002912536686845618,4.9194825387704524e-05,0.00011219770705724236,True,,direct formula,
230.0,30000.0,1.0,-5.298317366548036,0.005000000000000002,root_solve,1694.8930435272612,3.4421458205033073e-07,1.4416038457752167,1694.8930435287318,3.4421458205039246e-07,1.4416038457748135,1.470652932766825e-09,6.172752603115714e-20,4.0323300254385686e-13,8.676966009046544e-13,1.7932862013998096e-13,2.7971138099109324e-13,True,9.0,The solution converged.,2.838302158649496e-13
230.0,30000.0,1.0,-5.298317366548036,0.005000000000000002,analytic_eq92_94,1694.8930435272612,3.4421458205033073e-07,1.4416038457752167,1695.072569228772,3.442220846505806e-07,1.441554422853162,0.17952570151078362,7.502600249847657e-12,4.942292205467602e-05,0.00010591033373424516,2.179581318108493e-05,3.428328954554019e-05,True,,direct formula,
230.0,30000.0,1.0,-4.9238508323537875,0.007271077167244771,root_solve,2459.576231797636,5.00346974658492e-07,1.4425865496085992,2459.5762317992658,5.003469746585605e-07,1.442586549608291,1.6298145055770874e-09,6.850378960919154e-20,3.0819791163594346e-13,6.626403705262761e-13,1.3691256883473493e-13,2.1364257951771652e-13,True,9.0,The solution converged.,2.1691754023870796e-13
230.0,30000.0,1.0,-4.9238508323537875,0.007271077167244771,analytic_eq92_94,2459.576231797636,5.00346974658492e-07,1.4425865496085992,2459.822448479729,5.003572631741265e-07,1.442539720219551,0.24621668209283598,1.0288515634427341e-11,4.682938904831957e-05,0.00010009530657182513,2.0562338935903273e-05,3.2462100149918396e-05,True,,direct formula,
230.0,30000.0,1.0,-4.549384298159539,0.010573712634405643,root_solve,3569.2810394448766,7.273009573654652e-07,1.4435692619276321,3569.281039446652,7.273009573655389e-07,1.4435692619274005,1.775333657860756e-09,7.369186641112413e-20,2.3159252293680765e-13,4.973925107718576e-13,1.0132238334740272e-13,1.6043048923579647e-13,True,9.0,The solution converged.,1.6326788444065972e-13
230.0,30000.0,1.0,-4.549384298159539,0.010573712634405643,analytic_eq92_94,3569.2810394448766,7.273009573654652e-07,1.4435692619276321,3569.617760335159,7.273150262713916e-07,1.4435250175859398,0.3367208902823222,1.406890592640477e-11,4.4244341692367684e-05,9.432967698219509e-05,1.9343620602106293e-05,3.064926835120275e-05,True,,direct formula,
230.0,30000.0,1.0,-4.17491776396529,0.015376456101806879,root_solve,5179.688681861886,1.0572018228799383e-06,1.444551982691244,5179.688681863781,1.0572018228800192e-06,1.4445519826910727,1.8953869584947824e-09,8.089164646278568e-20,1.7141843500212417e-13,3.6592681045316703e-13,7.651485715605505e-14,1.1866546656408062e-13,True,9.0,The solution converged.,1.2099946308931465e-13
230.0,30000.0,1.0,-4.17491776396529,0.015376456101806879,analytic_eq92_94,5179.688681861886,1.0572018228799383e-06,1.444551982691244,5180.147710250941,1.0572210003446172e-06,1.4445103149523286,0.4590283890547653,1.9177464678888598e-11,4.1667738915451835e-05,8.86129922794284e-05,1.8139504108069565e-05,2.8844748693517817e-05,True,,direct formula,
230.0,30000.0,1.0,-3.800451229771041,0.022360679774997897,root_solve,7516.731110437246,1.5367474668569848e-06,1.4455347118586404,7516.731110439249,1.5367474668570693e-06,1.4455347118585158,2.003616828005761e-09,8.449153648861646e-20,1.2456702336294256e-13,2.6655427719412955e-13,5.49807553360847e-14,8.617366455543411e-14,True,9.0,The solution converged.,8.810496841416831e-14
230.0,30000.0,1.0,-3.800451229771041,0.022360679774997897,analytic_eq92_94,7516.731110437246,1.5367474668569848e-06,1.4455347118586404,7517.354635948838,1.5367735149177722e-06,1.4454956123187175,0.6235255115925611,2.6048060787364243e-11,3.9099539922871074e-05,8.294480462725435e-05,1.6949837132479466e-05,2.7048496035489626e-05,True,,direct formula,
230.0,30000.0,1.0,-3.4259846955767923,0.03251724563121182,root_solve,10908.293251604291,2.2338189082901567e-06,1.4465174493893018,10908.293251606365,2.233818908290244e-06,1.4465174493892132,2.0736479200422764e-09,8.724439356719293e-20,8.859579736508749e-14,1.9009829239206685e-13,3.905616218190643e-14,6.124765200896216e-14,True,9.0,The solution converged.,6.274565990943461e-14
230.0,30000.0,1.0,-3.4259846955767923,0.03251724563121182,analytic_eq92_94,10908.293251604291,2.2338189082901567e-06,1.4465174493893018,10909.136797017745,2.2338541461533466e-06,1.4464809096851063,0.8435454134541942,3.5237863189914865e-11,3.6539704195481804e-05,7.732467097532373e-05,1.5774469094409667e-05,2.5260465548416524e-05,True,,direct formula,
230.0,30000.0,1.0,-3.051518161382543,0.04728708045015881,root_solve,15830.222392473515,3.2470895754212267e-06,1.4475001952429818,15830.222392475596,3.247089575421313e-06,1.44750019524292,2.08092387765646e-09,8.639736061993863e-20,6.17284001691587e-14,1.3145259908954672e-13,2.660763080695995e-14,4.264483028881166e-14,True,9.0,The solution converged.,4.3763072557859155e-14
230.0,30000.0,1.0,-3.051518161382543,0.04728708045015881,analytic_eq92_94,15830.222392473515,3.2470895754212267e-06,1.4475001952429818,15831.358326518448,3.247137026650015e-06,1.4474662070514952,1.1359340449325828,4.7451228788120614e-11,3.398819148658916e-05,7.175215300571064e-05,1.4613251118963337e-05,2.3480612713066887e-05,True,,direct formula,
230.0,30000.0,1.0,-2.6770516271882943,0.06876560219336322,root_solve,22973.10184701598,4.719993728825403e-06,1.448482949379704,22973.101847018017,4.719993728825495e-06,1.4484829493796623,2.0372681319713593e-09,9.232659125071874e-20,4.1744385725905886e-14,8.86805859103351e-14,1.9560744474483217e-14,2.8819383579062793e-14,True,9.0,The solution converged.,2.9603393306253426e-14
230.0,30000.0,1.0,-2.6770516271882943,0.06876560219336322,analytic_eq92_94,22973.10184701598,4.719993728825403e-06,1.448482949379704,22974.623383195994,4.720057289286885e-06,1.448451504417884,1.5215361800146638,6.356046148235493e-11,3.14449618199486e-05,6.622681706841557e-05,1.346603602176993e-05,2.1708893317256196e-05,True,,direct formula,
230.0,30000.0,1.0,-2.3025850929940455,0.10000000000000002,root_solve,33339.160441755215,6.86103152909929e-06,1.44946571175976,33339.160441757114,6.861031529099375e-06,1.4494657117597327,1.899024937301874e-09,8.555032767268433e-20,2.731148640577885e-14,5.696079061797117e-14,1.2469018297007337e-14,1.884245083150029e-14,True,9.0,The solution converged.,1.9468807487461562e-14
