T_K,p_Pa,F,log_w,w_m_s,log_n,log_q,n,q,s,converged,iterations,message,residual_norm
190.0,30000.0,1.0,-4.07506002151349,0.01699119480913392,10.390407768315422,-16.084970952736974,32545.93543188743,1.0336794291912266e-07,1.5843735641606178,True,7,The solution converged.,9.087907214458586e-18
190.0,30000.0,1.0,-4.05009558590054,0.017420709385712704,10.41524436356676,-16.060025543991213,33364.38736513691,1.0597892917189384e-07,1.5844583549133435,True,7,The solution converged.,8.022528979538438e-18
190.0,30000.0,1.0,-4.02513115028759,0.01786108151372127,10.440080982196404,-16.035080127595766,34203.42219399125,1.0865586754615775e-07,1.5845431457099555,True,7,The solution converged.,9.16679393652386e-18
190.0,30000.0,1.0,-4.0001667146746405,0.018312585657472312,10.464917624197085,-16.01013470355336,35063.55756869098,1.114004239780522e-07,1.5846279365504394,True,7,The solution converged.,4.767866128546662e-18
190.0,30000.0,1.0,-3.9752022790616905,0.01877550321936759,10.489754289561539,-15.985189271866725,35945.32415863216,1.1421430648541076e-07,1.5847127274347808,True,7,The solution converged.,2.4944587600118873e-18
190.0,30000.0,1.0,-3.9502378434487406,0.019250122715283504,10.514590978282506,-15.960243832538591,36849.26597981672,1.1709926623076475e-07,1.584797518362965,True,7,The solution converged.,2.437681214871483e-18
190.0,30000.0,1.0,-3.9252734078357907,0.01973673995439019,10.53942769035273,-15.935298385571686,37775.940730538896,1.200570986111947e-07,1.5848823093349778,True,7,The solution converged.,4.8200275348592844e-18
190.0,30000.0,1.0,-3.900308972222841,0.020235658223516174,10.564264425764955,-15.910352930968735,38725.92013551497,1.230896443757138e-07,1.5849671003508048,True,7,The solution converged.,2.532006977405536e-18
190.0,30000.0,1.0,-3.875344536609891,0.020747188476173524,10.589101184511929,-15.885407468732462,39699.790298668726,1.2619879077087617e-07,1.5850518914104315,True,7,The solution converged.,3.983881083249287e-18
190.0,30000.0,1.0,-3.850380100996941,0.021271649526361326,10.613937966586407,-15.86046199886559,40698.15206479077,1.2938647271532473e-07,1.5851366825138435,True,7,The solution converged.,2.3872963854890436e-18
190.0,30000.0,1.0,-3.825415665383991,0.021809368247268222,10.638774771981144,-15.835516521370844,41721.621390293396,1.3265467400400856e-07,1.5852214736610264,True,7,The solution converged.,7.132330004705596e-18
190.0,30000.0,1.0,-3.800451229771041,0.022360679774997897,10.663611600688897,-15.810571036250943,42770.82972329199,1.360054285428199e-07,1.585306264851966,True,7,The solution converged.,3.527646997248035e-18
190.0,30000.0,1.0,-3.775486794158091,0.02292592771744448,10.68844845270243,-15.785625543508607,43846.42439324569,1.3944082161441946e-07,1.5853910560866475,True,7,The solution converged.,9.412927226157065e-18
190.0,30000.0,1.0,-3.7505223585451413,0.02350546436844801,10.713285328014505,-15.760680043146554,44949.06901039882,1.42962991176036e-07,1.5854758473650572,True,7,The solution converged.,2.642861923528048e-18
190.0,30000.0,1.0,-3.7255579229321913,0.024099650927363474,10.738122226617895,-15.7357345351675,46079.44387526933,1.46574129190051e-07,1.5855606386871801,True,7,The solution converged.,1.748695171016281e-18
190.0,30000.0,1.0,-3.7005934873192414,0.024708857724180293,10.762959148505367,-15.710789019574165,47238.2463984364,1.5027648298819344e-07,1.5856454300530018,True,7,The solution converged.,8.732885623293896e-18
190.0,30000.0,1.0,-3.6756290517062915,0.025333464450332452,10.787796093669698,-15.68584349636926,48426.19153088771,1.540723566701965e-07,1.5857302214625086,True,7,The solution converged.,2.2027339470015547e-18
190.0,30000.0,1.0,-3.6506646160933416,0.02597386039534327,10.812633062103666,-15.6608979655555,49644.012205190105,1.5796411253778472e-07,1.5858150129156856,True,7,The solution converged.,1.6587532620406543e-18
190.0,30000.0,1.0,-3.6257001804803917,0.02663044468945219,10.837470053800052,-15.6359524271356,50892.45978775745,1.6195417256488417e-07,1.5858998044125185,True,7,The solution converged.,1.6069969736030778e-18
190.0,30000.0,1.0,-3.6007357448674417,0.02730362655237486,10.86230706875164,-15.611006881112264,52172.30454249408,1.6604501990497346e-07,1.585984595952993,True,7,The solution converged.,5.941499575641521e-18
190.0,30000.0,1.0,-3.575771309254492,0.027993825548351548,10.887144106951217,-15.586061327488206,53484.33610609997,1.7023920043650814e-07,1.586069387537095,True,7,The solution converged.,1.7691149241952923e-18
190.0,30000.0,1.0,-3.550806873641542,0.028701471847642813,10.911981168391575,-15.561115766266136,54829.36397533152,1.7453932434738725e-07,1.5861541791648097,True,7,The solution converged.,9.428020577614405e-18
190.0,30000.0,1.0,-3.525842438028592,0.029427006494635453,10.936818253065507,-15.536170197448758,56208.218006517556,1.789480677594433e-07,1.5862389708361233,True,7,The solution converged.,8.48694619975345e-18
190.0,30000.0,1.0,-3.500878002415642,0.030170881682725817,10.96165536096581,-15.511224621038778,57621.74892764039,1.834681743939677e-07,1.5863237625510214,True,7,The solution converged.,3.561421065193363e-18
190.0,30000.0,1.0,-3.475913566802692,0.030933561036151764,10.986492492085285,-15.486279037038903,59070.8288632963,1.8810245727930884e-07,1.5864085543094892,True,7,The solution converged.,7.158690792815808e-18
190.0,30000.0,1.0,-3.4509491311897422,0.031715519898949,11.011329646416733,-15.461333445451835,60556.35187286099,1.9285380050160722e-07,1.586493346111513,True,7,The solution converged.,7.96501366925136e-18
190.0,30000.0,1.0,-3.4259846955767923,0.03251724563121182,11.036166823952964,-15.436387846280276,62079.23450219088,1.9772516099975341e-07,1.5865781379570782,True,7,The solution converged.,2.883567204373422e-18
190.0,30000.0,1.0,-3.4010202599638424,0.033339237912842906,11.061004024686786,-15.411442239526927,63640.416349201354,2.0271957040568908e-07,1.5866629298461705,True,7,The solution converged.,5.340083750137455e-18
190.0,30000.0,1.0,-3.3760558243508925,0.03418200905498155,11.085841248611015,-15.38649662519449,65240.86064367119,2.0784013693119592e-07,1.5867477217787758,True,7,The solution converged.,4.730768999863615e-18
190.0,30000.0,1.0,-3.3510913887379425,0.03504608431930435,11.110678495718462,-15.361551003285658,66881.55484163006,2.1309004730234663e-07,1.5868325137548795,True,7,The solution converged.,6.827752941627625e-18
190.0,30000.0,1.0,-3.3261269531249926,0.03593200224539737,11.135515766001948,-15.336605373803133,68563.51123469764,2.184725687428202e-07,1.5869173057744677,True,7,The solution converged.,9.342616770611417e-18
190.0,30000.0,1.0,-3.3011625175120427,0.03684031498640387,11.160353059454298,-15.311659736749611,70287.76757474865,2.2399105100731898e-07,1.587002097837526,True,7,The solution converged.,2.2912747702936377e-18
190.0,30000.0,1.0,-3.2761980818990923,0.03777158865315674,11.185190376068336,-15.286714092127783,72055.38771428981,2.2964892846635347e-07,1.58708688994404,True,7,The solution converged.,8.805663399466162e-18
190.0,30000.0,1.0,-3.2512336462861424,0.03872640366701012,11.21002771583689,-15.261768439940345,73867.46226294491,2.3544972224368424e-07,1.5871716820939958,True,7,The solution converged.,2.7031490169994042e-18
190.0,30000.0,1.0,-3.2262692106731925,0.03970535512159018,11.234865078752794,-15.236822780189991,75725.10926045208,2.413970424077657e-07,1.5872564742873787,True,7,The solution converged.,7.178963319791533e-18
190.0,30000.0,1.0,-3.2013047750602426,0.04070905315369045,11.259702464808882,-15.211877112879408,77629.47486658893,2.4749459021854236e-07,1.5873412665241748,True,7,The solution converged.,5.2633922441772455e-18
190.0,30000.0,1.0,-3.1763403394472927,0.04173812332354285,11.284539873997991,-15.186931438011289,79581.73406845116,2.5374616043100213e-07,1.5874260588043698,True,7,The solution converged.,4.180806585409132e-18
190.0,30000.0,1.0,-3.1513759038343427,0.04279320700470149,11.309377306312966,-15.16198575558832,81583.09140552237,2.6015564365692105e-07,1.5875108511279494,True,7,The solution converged.,3.637950869905116e-18
190.0,30000.0,1.0,-3.126411468221393,0.04387496178378224,11.334214761746647,-15.13704006561319,83634.78171297988,2.6672702878626625e-07,1.5875956434948995,True,7,The solution converged.,3.401949741679805e-18
190.0,30000.0,1.0,-3.101447032608443,0.04498406187030712,11.359052240291888,-15.112094368088584,85738.07088369923,2.7346440546976654e-07,1.5876804359052057,True,7,The solution converged.,3.3203326402697626e-18
190.0,30000.0,1.0,-3.076482596995493,0.04612119851690905,11.383889741941534,-15.087148663017189,87894.25664942282,2.8037196666419506e-07,1.587765228358854,True,7,The solution converged.,3.681072247402416e-18
190.0,30000.0,1.0,-3.051518161382543,0.04728708045015881,11.408727266688441,-15.062202950401685,90104.6693815801,2.874540112419485e-07,1.58785002085583,True,7,The solution converged.,4.97351051387911e-18
190.0,30000.0,1.0,-3.026553725769593,0.048482434312282656,11.433564814525468,-15.037257230244757,92370.67291224915,2.9471494666654565e-07,1.5879348133961195,True,7,The solution converged.,7.905263801696845e-18
190.0,30000.0,1.0,-3.001589290156643,0.04970800511404608,11.458402385445474,-15.012311502549085,94693.66537576822,3.021592917357125e-07,1.5880196059797087,True,7,The solution converged.,5.329961217234907e-18
190.0,30000.0,1.0,-2.9766248545436933,0.050964556699085777,11.483239979441324,-14.987365767317348,97075.08007151734,3.0979167939376156e-07,1.588104398606583,True,7,The solution converged.,6.66199180520087e-18
190.0,30000.0,1.0,-2.9516604189307434,0.05225287221997933,11.508077596505881,-14.962420024552227,99516.3863484006,3.1761685961501e-07,1.5881891912767285,True,7,The solution converged.,4.8187943368020634e-18
190.0,30000.0,1.0,-2.9266959833177935,0.0535737546263493,11.53291523663202,-14.937474274256399,102019.09051157751,3.256397023600424e-07,1.588273983990131,True,7,The solution converged.,1.5387501453454823e-18
190.0,30000.0,1.0,-2.9017315477048435,0.054928027165305905,11.557752899812611,-14.912528516432538,104584.73675199962,3.3386520060664787e-07,1.588358776746776,True,7,The solution converged.,7.034864502321065e-18
190.0,30000.0,1.0,-2.8767671120918936,0.05631653389454026,11.58259058604053,-14.88758275108332,107214.90809932962,3.422984734573194e-07,1.5884435695466497,True,7,The solution converged.,6.977443509279316e-18
190.0,30000.0,1.0,-2.8518026764789437,0.0577401402083879,11.607428295308656,-14.862636978211418,109911.22739882933,3.509447693252579e-07,1.588528362389738,True,7,The solution converged.,3.8832623033538434e-18
190.0,30000.0,1.0,-2.826838240865994,0.05919973337719046,11.632266027609875,-14.837691197819508,112675.35831281905,3.598094692008501e-07,1.5886131552760263,True,7,The solution converged.,8.017539137546721e-18
190.0,30000.0,1.0,-2.801873805253044,0.06069622310029174,11.657103782937067,-14.812745409910256,115509.00634732685,3.6889809000067184e-07,1.588697948205501,True,7,The solution converged.,6.353407960873269e-18
190.0,30000.0,1.0,-2.776909369640094,0.06223054207301277,11.681941561283127,-14.787799614486335,118413.91990456331,3.782162880010778e-07,1.5887827411781479,True,7,The solution converged.,1.8809131395642248e-18
190.0,30000.0,1.0,-2.751944934027144,0.06380364656795916,11.70677936264094,-14.762853811550414,121391.89136186655,3.877698623585363e-07,1.5888675341939524,True,7,The solution converged.,5.770158678386589e-18
190.0,30000.0,1.0,-2.726980498414194,0.0654165170310232,11.731617187003406,-14.73790800110516,124444.75817778996,3.9756475871888985e-07,1.588952327252901,True,7,The solution converged.,5.393659217859054e-18
190.0,30000.0,1.0,-2.702016062801244,0.06707015869245214,11.756455034363423,-14.712962183153238,127574.4040260089,4.0760707291778656e-07,1.5890371203549791,True,7,The solution converged.,4.593264594726966e-18
190.0,30000.0,1.0,-2.6770516271882943,0.06876560219336322,11.78129290471389,-14.688016357697316,130782.75995775036,4.179030547745894e-07,1.5891219135001728,True,7,The solution converged.,6.964980009244707e-18
190.0,30000.0,1.0,-2.6520871915753443,0.07050390422809653,11.806130798047711,-14.663070524740055,134071.80559346196,4.28459111982129e-07,1.589206706688468,True,7,The solution converged.,8.907701844042841e-18
190.0,30000.0,1.0,-2.6271227559623944,0.07228614820280532,11.830968714357796,-14.638124684284119,137443.57034445577,4.3928181409470497e-07,1.5892914999198509,True,7,The solution converged.,6.721983052253377e-18
190.0,30000.0,1.0,-2.6021583203494445,0.0741134449106948,11.855806653637055,-14.61317883633217,140900.13466527927,4.5037789661683764e-07,1.589376293194307,True,7,The solution converged.,4.759234259764388e-18
190.0,30000.0,1.0,-2.5771938847364946,0.07598693322433003,11.8806446158784,-14.588232980886865,144443.6313375896,4.6175426519530476e-07,1.5894610865118222,True,7,The solution converged.,8.267511076717297e-18
190.0,30000.0,1.0,-2.5522294491235447,0.07790778080544443,11.905482601074748,-14.563287117950868,148076.24678632183,4.734179999170669e-07,1.5895458798723827,True,7,The solution converged.,5.742293200923782e-18
190.0,30000.0,1.0,-2.5272650135105947,0.07987718483269123,11.93032060921902,-14.538341247526832,151800.22242896163,4.853763597157752e-07,1.5896306732759744,True,7,The solution converged.,2.841031020363381e-18
190.0,30000.0,1.0,-2.502300577897645,0.08189637274779156,11.95515864030414,-14.513395369617417,155617.85605875988,4.97636786889578e-07,1.589715466722583,True,7,The solution converged.,4.9348705498733776e-18
190.0,30000.0,1.0,-2.477336142284695,0.08396660302054416,11.979996694323033,-14.488449484225276,159531.5032627378,5.102069117330656e-07,1.5898002602121948,True,7,The solution converged.,1.784452750376583e-18
190.0,30000.0,1.0,-2.452371706671745,0.0860891659331735,12.004834771268627,-14.463503591353065,163543.57887536084,5.23094557286213e-07,1.5898850537447953,True,7,The solution converged.,7.175576526198107e-18
190.0,30000.0,1.0,-2.427407271058795,0.08826538438450515,12.029672871133856,-14.438557691003435,167656.55846877943,5.363077442032948e-07,1.589969847320371,True,7,The solution converged.,3.507334968205792e-18
190.0,30000.0,1.0,-2.402442835445845,0.09049661471446961,12.054510993911656,-14.413611783179041,171872.97988055163,5.498546957447839e-07,1.5900546409389074,True,7,The solution converged.,4.827529401206984e-18
190.0,30000.0,1.0,-2.377478399832895,0.09278424754944857,12.079349139594964,-14.388665867882528,176195.44477979676,5.637438428953667e-07,1.5901394346003908,True,7,The solution converged.,2.337142305745743e-18
190.0,30000.0,1.0,-2.3525139642199453,0.09512970866899027,12.104187308176723,-14.36371994511655,180626.62027274215,5.779838296112248e-07,1.590224228304807,True,7,The solution converged.,2.2333964980819765e-18
190.0,30000.0,1.0,-2.3275495286069954,0.09753445989443438,12.129025499649877,-14.338774014883754,185169.2405486554,5.925835181998898e-07,1.5903090220521419,True,7,The solution converged.,3.8718896227238505e-18
190.0,30000.0,1.0,-2.3025850929940455,0.10000000000000002,12.153863714007375,-14.313828077186784,189826.1085671787,6.075519948359865e-07,1.5903938158423816,True,7,The solution converged.,6.826684341652246e-18
190.0,30000.0,1.0,-2.2776206573810955,0.10252786564690491,12.178701951242168,-14.28888213202829,194600.09778810592,6.228985752163112e-07,1.5904786096755124,True,7,The solution converged.,2.0846992303611115e-18
190.0,30000.0,1.0,-2.2526562217681456,0.10511963234109784,12.203540211347208,-14.263936179410912,199494.1539446698,6.386328103577722e-07,1.5905634035515197,True,7,The solution converged.,5.9721758743878075e-18
190.0,30000.0,1.0,-2.2276917861551957,0.10777691541520117,12.228378494315455,-14.238990219337296,204511.29686143505,6.547644925417821e-07,1.59064819747039,True,7,The solution converged.,1.9519980012061613e-18
190.0,30000.0,1.0,-2.2027273505422458,0.11050137103527578,12.253216800139867,-14.214044251810083,209654.62231791718,6.713036614088209e-07,1.5907329914321091,True,7,The solution converged.,6.46564651963861e-18
190.0,30000.0,1.0,-2.177762914929296,0.11329469723303544,12.278055128813408,-14.189098276831913,214927.30395908022,6.88260610206952e-07,1.5908177854366632,True,7,The solution converged.,3.998241219252349e-18
190.0,30000.0,1.0,-2.152798479316346,0.11615863496415425,12.302893480329045,-14.164152294405428,220332.59525389023,7.056458921981811e-07,1.5909025794840381,True,7,The solution converged.,3.0593935030824976e-18
190.0,30000.0,1.0,-2.127834043703396,0.11909496919332677,12.32773185467975,-14.139206304533264,225873.83150313393,7.234703272266524e-07,1.59098737357422,True,7,The solution converged.,4.711887437499116e-18
190.0,30000.0,1.0,-2.102869608090446,0.12210553000675683,12.35257025185849,-14.114260307218059,231554.43189774096,7.417450084527623e-07,1.5910721677071948,True,7,The solution converged.,1.826082934769007e-18
190.0,30000.0,1.0,-2.077905172477496,0.1251921937527688,12.377408671858245,-14.089314302462448,237377.90162888507,7.604813092573844e-07,1.5911569618829486,True,7,The solution converged.,3.93890709688127e-18
190.0,30000.0,1.0,-2.0529407368645463,0.12835688421125166,12.40224711467199,-14.064368290269067,243347.8340511575,7.796908903205045e-07,1.5912417561014676,True,7,The solution converged.,4.440365880526069e-18
190.0,30000.0,1.0,-2.0279763012515963,0.13160157379266538,12.427085580292713,-14.039422270640548,249467.9129001587,7.993857068786753e-07,1.5913265503627376,True,7,The solution converged.,5.298921320800775e-18
190.0,30000.0,1.0,-2.0030118656386464,0.13492828476735635,12.451924068713394,-14.014476243579525,255741.9145658641,8.195780161657929e-07,1.5914113446667448,True,7,The solution converged.,8.382260363131524e-18
190.0,30000.0,1.0,-1.9780474300256965,0.13833909052594837,12.476762579927023,-13.989530209088628,262173.71042318305,8.40280385041848e-07,1.5914961390134754,True,7,The solution converged.,7.899963063068134e-18
190.0,30000.0,1.0,-1.9530829944127466,0.14183611687159448,12.50160111392659,-13.964584167170488,268767.2692211337,8.615056978143818e-07,1.5915809334029154,True,7,The solution converged.,6.116288325265729e-18
190.0,30000.0,1.0,-1.9281185587997967,0.1454215433448954,12.526439670705091,-13.93963811782773,275526.65953212,8.832671642575283e-07,1.5916657278350508,True,7,The solution converged.,6.345512039207458e-18
