T_K,p_Pa,F,N_a_m3,log_w,w_m_s,log_n,log_q,n,q,s,converged,iterations,message,residual_norm
190.0,30000.0,1.0,10000000000.0,-3.1513759038343427,0.04279320700470149,11.32744625451939,-15.15927641104479,83070.61054068236,2.6086145063592464e-07,1.5756011718863245,True,7,The solution converged.,7.766813863986473e-18
190.0,30000.0,1.0,10000000000.0,-3.126411468221393,0.04387496178378224,11.352280391109149,-15.134331808754515,85159.42705411096,2.674503731504149e-07,1.57568595801917,True,7,The solution converged.,4.987775294755756e-18
190.0,30000.0,1.0,10000000000.0,-3.101447032608443,0.04498406187030712,11.37711455184685,-15.109387198525017,87300.7691180603,2.742057229683127e-07,1.575770744197432,True,7,The solution converged.,5.23646771573013e-18
190.0,30000.0,1.0,10000000000.0,-3.076482596995493,0.04612119851690905,11.401948736724883,-15.084442580359163,89495.95759663667,2.8113170387320247e-07,1.5758555304210955,True,7,The solution converged.,6.514921409787653e-18
190.0,30000.0,1.0,10000000000.0,-3.051518161382543,0.04728708045015881,11.426782945735642,-15.059497954259815,91746.3465711178,2.882326258332956e-07,1.5759403166901453,True,7,The solution converged.,8.190731693171573e-18
190.0,30000.0,1.0,10000000000.0,-3.026553725769593,0.048482434312282656,11.451617178871519,-15.034553320229838,94053.32417533205,2.955129076836101e-07,1.5760251030045664,True,7,The solution converged.,8.72728004309844e-18
190.0,30000.0,1.0,10000000000.0,-3.001589290156643,0.04970800511404608,11.476451436124918,-15.009608678272093,96418.31345204917,3.0297707987590795e-07,1.5761098893643437,True,7,The solution converged.,7.684767239697565e-18
190.0,30000.0,1.0,10000000000.0,-2.9766248545436933,0.050964556699085777,11.501285717488239,-14.98466402838944,98842.77323090646,3.106297872980904e-07,1.576194675769462,True,7,The solution converged.,4.62857433711116e-18
190.0,30000.0,1.0,10000000000.0,-2.9516604189307434,0.05225287221997933,11.52612002295389,-14.959719370584741,101328.19902841783,3.184757921648145e-07,1.5762794622199061,True,7,The solution converged.,7.503601736422132e-18
190.0,30000.0,1.0,10000000000.0,-2.9266959833177935,0.0535737546263493,11.550954352514278,-14.934774704860853,103876.1239706153,3.265199769811253e-07,1.576364248715661,True,7,The solution converged.,7.765532359361859e-18
190.0,30000.0,1.0,10000000000.0,-2.9017315477048435,0.054928027165305905,11.57578870616182,-14.90983003122063,106488.11973889785,3.347673475809503e-07,1.5764490352567118,True,7,The solution converged.,6.290246417520781e-18
190.0,30000.0,1.0,10000000000.0,-2.8767671120918936,0.05631653389454026,11.60062308388893,-14.88488534966693,109165.7975396657,3.432230362423429e-07,1.5765338218430431,True,7,The solution converged.,3.4867755061223304e-18
190.0,30000.0,1.0,10000000000.0,-2.8518026764789437,0.0577401402083879,11.625457485688028,-14.859940660202605,111910.80909834293,3.518923048814212e-07,1.5766186084746399,True,7,The solution converged.,7.906250088105066e-18
190.0,30000.0,1.0,10000000000.0,-2.826838240865994,0.05919973337719046,11.650291911551538,-14.83499596283051,114724.84767839966,3.6078054832698194e-07,1.5767033951514873,True,7,The solution converged.,4.848779310860391e-18
190.0,30000.0,1.0,10000000000.0,-2.801873805253044,0.06069622310029174,11.675126361471886,-14.810051257553493,117609.64912600176,3.698932976778346e-07,1.57678818187357,True,7,The solution converged.,3.5370676460744415e-18
