backend,schema_version,branch_id,T_K,temperature_K,p_Pa,pressure_Pa,F,N_a_m3,log_w,w_m_s,log_n,log_q,n,n_kg_dry_air_inv,q,q_kg_kg,s,residual_norm,converged,stability,backend_step_index,source_file,auto_branch,auto_point,auto_type_code,auto_label,auto_l2_norm
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.2743313357,0.013921354320070746,10.210377058,-16.281331439,27183.815532401895,27183.815532401895,8.493908885871262e-08,8.493908885871262e-08,1.5717873517,1.775961791196582e-12,True,,36,raw/bs2026_T190K/b.bs2026_T190K,1,37,0,0,19.282221567
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.2454054066,0.014329923055874248,10.239150746,-16.252428907,27977.3559528353,27977.3559528353,8.742986507407247e-08,8.742986507407247e-08,1.5718855897,1.1183986271132863e-12,True,,37,raw/bs2026_T190K/b.bs2026_T190K,1,38,0,0,19.27310244
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.2164794921,0.014750482393308615,10.267924452,-16.223526379,28794.061645535076,28794.061645535076,8.999368110728809e-08,8.999368110728809e-08,1.5719838278,8.053851600782966e-13,True,,38,raw/bs2026_T190K/b.bs2026_T190K,1,39,0,0,19.264065352
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.1875535921,0.015183384225587593,10.296698177,-16.194623854,29634.608902908545,29634.608902908545,9.263267886873826e-08,9.263267886873826e-08,1.5720820659,1.0269398522052863e-12,True,,39,raw/bs2026_T190K/b.bs2026_T190K,1,40,4,3,19.255110416
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.1586277067,0.015628990769860424,10.32547192,-16.165721333,30499.693702375174,30499.693702375174,9.534906289526833e-08,9.534906289526833e-08,1.572180304,1.6643669283654751e-12,True,,40,raw/bs2026_T190K/b.bs2026_T190K,1,41,0,0,19.246237749
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.1297018359,0.016087674874647722,10.354245682,-16.136818816,31390.03239964471,31390.03239964471,9.814510245917376e-08,9.814510245917376e-08,1.5722785422,8.796381679547428e-13,True,,41,raw/bs2026_T190K/b.bs2026_T190K,1,42,0,0,19.237447465
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.1007759796,0.016559820332013052,10.383019461,-16.107916303,32306.362169292588,32306.362169292588,1.010231333764887e-07,1.010231333764887e-07,1.5723767803,5.843917895648487e-13,True,,42,raw/bs2026_T190K/b.bs2026_T190K,1,43,0,0,19.228739675
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.0718501379,0.01704582219379505,10.41179326,-16.079013793,33249.441867391426,33249.441867391426,1.0398556006227724e-07,1.0398556006227724e-07,1.5724750185,1.016630769105906e-12,True,,43,raw/bs2026_T190K/b.bs2026_T190K,1,44,0,0,19.220114493
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.0429243106,0.017546087110420366,10.440567076,-16.050111287,34220.05230715157,34220.05230715157,1.0703485723330418e-07,1.0703485723330418e-07,1.5725732566,1.3916651606451722e-12,True,,44,raw/bs2026_T190K/b.bs2026_T190K,1,45,0,0,19.21157203
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.0139984979,0.018061033659244427,10.469340911,-16.021208785,35218.99726388659,35218.99726388659,1.101735722754838e-07,1.101735722754838e-07,1.5726714948,6.144610745266254e-13,True,,45,raw/bs2026_T190K/b.bs2026_T190K,1,46,0,0,19.203112396
