branch_id,T_K,w_m_s,residual_norm,equilibrium_residual_norm,eigen_residual_norm,physical_residual_norm,converged,iterations,message
upper_hopf,222.0,0.4891959021980357,2.8238899443956355e-16,1.1221299883492771e-17,2.8216595579465745e-16,1.136868377257111e-12,True,5,`gtol` termination condition is satisfied.
upper_hopf,223.0,0.5194740676467992,9.517247915686307e-16,6.269172521030181e-18,9.517041432936263e-16,2.273736755214265e-13,True,5,`gtol` termination condition is satisfied.
upper_hopf,224.0,0.5510801512854383,7.376523743653527e-16,1.3281956351340111e-17,7.375327891303027e-16,2.7853275241823275e-12,True,5,`gtol` termination condition is satisfied.
upper_hopf,225.0,0.5840234478105988,6.821466938892016e-16,1.4317756815646307e-17,6.819964177499293e-16,3.069544618484736e-12,True,5,`gtol` termination condition is satisfied.
upper_hopf,226.0,0.6183076060151793,8.70055274279733e-16,3.2415677714093824e-17,8.694512086024824e-16,7.446487870766165e-12,True,5,`gtol` termination condition is satisfied.
upper_hopf,227.0,0.6539299591929738,2.4706208472457867e-16,6.12448942340865e-18,2.469861622394207e-16,8.526512829126786e-13,True,5,`gtol` termination condition is satisfied.
upper_hopf,228.0,0.6908808307830547,2.4365230777403697e-17,2.4365230777403697e-17,0.0,5.8548721426632296e-12,True,5,`gtol` termination condition is satisfied.
upper_hopf,229.0,0.7291428225040474,1.1589245897298795e-15,7.941237047152211e-16,8.440815993077575e-16,7.992184692157958e-11,True,9,`gtol` termination condition is satisfied.
upper_hopf,230.0,0.7686900941771816,8.315609379520756e-15,6.469408566174087e-16,8.290405712678523e-15,1.6393641999457073e-10,True,3,`gtol` termination condition is satisfied.
upper_hopf,231.0,0.8094876465826087,8.932075376826397e-16,3.99902619946019e-18,8.931985855130651e-16,6.821210263309369e-13,True,14,`gtol` termination condition is satisfied.
upper_hopf,232.0,0.8514906208873152,3.108607613167098e-16,3.523007798080674e-17,3.0885798440686413e-16,9.208633855450908e-12,True,5,`gtol` termination condition is satisfied.
upper_hopf,233.0,0.8946436305364636,7.394926897632387e-16,6.673348000349784e-17,7.364754448451709e-16,1.8189894035458565e-11,True,5,`gtol` termination condition is satisfied.
upper_hopf,234.0,0.9388801436938166,1.1064507003449649e-15,2.7911801410131616e-18,1.1064471797638075e-15,6.821210263297306e-13,True,5,`gtol` termination condition is satisfied.
upper_hopf,235.0,0.9841219364289272,5.136777408805561e-16,7.53802879620557e-17,5.081167519998818e-16,2.160049916710705e-11,True,5,`gtol` termination condition is satisfied.
upper_hopf,236.0,1.030278638616967,1.0214378811692689e-16,5.019744207925517e-17,8.895825009281307e-17,1.4665602066088474e-11,True,5,`gtol` termination condition is satisfied.
upper_hopf,237.0,1.0772473958251791,4.701182983165449e-16,3.545054802546831e-17,4.68779770315164e-16,1.0686562745831915e-11,True,5,`gtol` termination condition is satisfied.
upper_hopf,238.0,1.1249126711171897,1.7916014163890877e-15,7.161729763614532e-17,1.7901694327316287e-15,2.216893335571513e-11,True,5,`gtol` termination condition is satisfied.
upper_hopf,239.0,1.1731462105283657,1.8893295761391644e-15,8.271496652464878e-17,1.8875180745060483e-15,2.6261659513693325e-11,True,5,`gtol` termination condition is satisfied.
upper_hopf,240.0,1.2218071947751592,1.5124685750584128e-16,1.0581287936921527e-16,1.0807056243486548e-16,3.4560798667371286e-11,True,5,`gtol` termination condition is satisfied.
