backend,schema_version,branch_id,point_index,log_w,w_m_s,n,q,s,jacobian_coordinate_system,jacobian_method,physical_jacobian_11,physical_jacobian_12,physical_jacobian_13,physical_jacobian_21,physical_jacobian_22,physical_jacobian_23,physical_jacobian_31,physical_jacobian_32,physical_jacobian_33
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,20,-7.393551218539532,0.0006152073339864461,211.00320422804532,4.2451678401488566e-08,1.4361052467286866,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006109015098279296,-6072889.5014395425,146.96949192884202,1.0226282609143617e-12,-0.005082905689932752,3.7110255269213274e-10,-2.755563406542269e-09,-6.848171027951379,-1.3925708339362649e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,21,-7.383183656489404,0.0006216187119467984,213.21253371864634,4.2898200923262116e-08,1.4361327366895806,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006109207650976801,-6072793.796682383,148.51303113074377,1.022708842071441e-12,-0.005083065906225474,3.7499412781594804e-10,-2.755780533197352e-09,-6.84838684618256,-1.4072135562962154e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,22,-7.372816094439276,0.000628096906027635,215.42180608747657,4.3344732621789545e-08,1.4361599425488203,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006109398193449364,-6072699.09552434,150.05657817681168,1.0227885881104544e-12,-0.0050832244439458375,3.788856625208849e-10,-2.7559954160550423e-09,-6.848600443285787,-1.421790096174907e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,23,-7.362448532389149,0.0006346426125525827,217.65397056454523,4.379591231378752e-08,1.43618714840806,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.000610958874186483,-6072604.395843097,151.6161678385699,1.0228683383778272e-12,-0.005083382991555435,3.8281758197117585e-10,-2.7562103049445656e-09,-6.8488140204039585,-1.4365176245964553e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,24,-7.3520809703390215,0.0006412565351020002,219.9092643540228,4.425178838068871e-08,1.4362143542672996,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006109779296223384,-6072509.697638632,153.19196685244455,1.0229480928738272e-12,-0.005083541549054268,3.867903052630852e-10,-2.7564251998660582e-09,-6.849027577538111,-1.451397705531578e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,25,-7.341713408288894,0.0006479393845886018,222.18792711794944,4.471240970753298e-08,1.4362415601265393,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006109969856525212,-6072415.000910923,154.78414368781102,1.0230278515987223e-12,-0.00508370011644234,3.9080425584208586e-10,-2.756640100819655e-09,-6.849241114689287,-1.4664319191507423e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,26,-7.331345846238766,0.0006546918793338727,224.4902255129659,4.5177829321331654e-08,1.436268766222607,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006110160305585468,-6072320.3638896,156.3928826415446,1.0231075853976384e-12,-0.005083858546776894,3.948599008746926e-10,-2.7568549828655785e-09,-6.849454766940486,-1.481622073930608e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,27,-7.320978284188639,0.0006615147451452789,226.8163801902226,4.5648093572633096e-08,1.4362959723186748,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006110350760582061,-6072225.728343172,158.0183419192051,1.0231873234214044e-12,-0.005084016986991608,3.9895763413020423e-10,-2.7570698709398045e-09,-6.849668399218747,-1.4969695754064662e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,28,-7.310610722138511,0.0006684087153942843,229.16660765556904,4.6123247899923794e-08,1.436323178107494,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006110541326345679,-6072131.042185841,159.6606766586402,1.0232670916422772e-12,-0.005084175568815256,4.030978418593326e-10,-2.7572847867524027e-09,-6.84988188918718,-1.5124757811269824e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,29,-7.3002431600883835,0.0006753745310951757,231.54118772337853,4.6603348143178845e-08,1.4363503838963134,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006110731898052542,-6072036.35750498,161.3200807038508,1.023346864092629e-12,-0.005084334160527165,4.0728101485237735e-10,-2.757499708597201e-09,-6.850095359177721,-1.5281426044780224e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,30,-7.289875598038257,0.0006824129409847136,233.9404082598006,4.708845117745427e-08,1.4363775900192222,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.000611092232353687,-6071941.749898227,162.99675215758887,1.0234266029385014e-12,-0.005084492571243398,4.115076563572712e-10,-2.757714604251184e-09,-6.850308985013155,-1.5439720183578086e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,31,-7.279508035988129,0.0006895247016026145,236.36448942356498,4.757860374064208e-08,1.436404796142131,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006111112754955325,-6071847.143765543,164.69085000456644,1.0235063460084418e-12,-0.005084650991836116,4.157781606933824e-10,-2.7579295059323525e-09,-6.8505225908830765,-1.5599654009254368e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,32,-7.269140473938001,0.0006967105773728648,238.8136568348169,4.807385319288348e-08,1.436432001957784,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006111303297163428,-6071752.487018539,166.40253593359216,1.0235861192858388e-12,-0.005084809554064983,4.200929303964988e-10,-2.758144435360639e-09,-6.850736054423263,-1.5761241668359688e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,33,-7.258772911887873,0.0007039713406858898,241.28820208951294,4.857425773587286e-08,1.4364592077734373,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006111493845312564,-6071657.831747179,168.1320119749377,1.0236658967919325e-12,-0.0050849681261784345,4.2445247695264093e-10,-2.7583593708200096e-09,-6.850949497992987,-1.592450310031924e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,34,-7.248405349837746,0.0007113077719815744,243.78842517211467,4.907987664998721e-08,1.4364864139231723,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006111684247229673,-6071563.2535385825,169.87948459653705,1.0237456406838023e-12,-0.005085126517283594,4.2885732482758204e-10,-2.758574280079469e-09,-6.851163097422423,-1.608945886459164e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,35,-7.2380377877876185,0.0007187206598331526,246.31455551171712,4.9590758649905166e-08,1.4365136200729074,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006111874655078707,-6071468.676803231,171.64511949745116,1.0238253887989578e-12,-0.0050852849182615595,4.333078849691646e-10,-2.7587891953649976e-09,-6.851376676893776,-1.6256123322653182e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,36,-7.227670225737491,0.0007262108010319662,248.86682822646344,5.010695309869299e-08,1.4365408259153796,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006112065173739996,-6071374.049450144,173.42908519406748,1.02390516713192e-12,-0.005085443460902891,4.378045768848843e-10,-2.7590041384063885e-09,-6.85159011401548,-1.6424511216141446e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,37,-7.217302663687364,0.0007337790006731107,251.44554718997853,5.0628520659653605e-08,1.4365680317578517,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006112255698340111,-6071279.42357188,175.2315922486672,1.023984949692798e-12,-0.005085602013425132,4.423479336292124e-10,-2.7592190874777483e-09,-6.851803531174147,-1.6594643323965196e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,38,-7.206935101637236,0.0007414260722419756,254.0510250152036,5.115552312021101e-08,1.4365952379343987,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006112446076698734,-6071184.874745029,177.05285584763703,1.0240646986297118e-12,-0.005085760384926486,4.4693850178037717e-10,-2.759434010340108e-09,-6.852017104207327,-1.6766541071019032e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,39,-7.196567539587108,0.0007491528377016792,256.6835007919677,5.1688011255439825e-08,1.4366224441109456,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006112636460987069,-6071090.327390596,178.89304868792928,1.0241444517891301e-12,-0.005085918766296971,4.515767096159403e-10,-2.7596489392274227e-09,-6.852230657289847,-1.6940219423065137e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,40,-7.1861999775369805,0.000756960127581422,259.3432195362701,5.2226036516038715e-08,1.4366496499802222,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.000611282695611023,-6070995.72941504,180.75234640180722,1.0242242351766953e-12,-0.005086077289357983,4.562629943306902e-10,-2.7598638958793324e-09,-6.852444068002851,-1.7115693741861818e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,41,-7.175832415486854,0.0007648487810657568,262.0304979163768,5.2769662131033363e-08,1.4366768558494987,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006113017457170008,-6070901.132913484,182.63096844390358,1.0243040227913945e-12,-0.005086235822296229,4.609979114570815e-10,-2.7600788585600975e-09,-6.852657458760242,-1.7292985681146351e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,42,-7.165464853436726,0.0007728196460847934,264.74566170535456,5.331895250092296e-08,1.4367040620528428,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006113207811978833,-6070806.613451994,184.52913908721774,1.0243837767723923e-12,-0.005086394174201003,4.657820306181322e-10,-2.760293795022774e-09,-6.852871005406932,-1.7472117567680681e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,43,-7.155097291386598,0.0007808735794053355,267.4889600605741,5.3873960548324e-08,1.436731268256187,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006113398172715164,-6070712.0954621015,186.44703832213813,1.0244635349751122e-12,-0.005086552535971238,4.706157981519422e-10,-2.760508737509291e-09,-6.853084532110383,-1.7653104996940164e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,44,-7.144729729336471,0.0007890114467229749,270.2606483125819,5.4434739899858094e-08,1.4367584741522537,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006113588644308919,-6070617.526847684,188.3848491973241,1.0245433234163305e-12,-0.005086711039459194,4.754996696863501e-10,-2.76072370776915e-09,-6.853297916424419,-1.7835963976890784e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,45,-7.134362167286343,0.0007972341227551446,273.06105646302814,5.5001356458790835e-08,1.4367856800483203,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006113779121837086,-6070522.95970644,190.3428004352732,1.0246231160839017e-12,-0.005086869552820714,4.804342241796822e-10,-2.7609386840567494e-09,-6.853511280790261,-1.802071707293143e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,46,-7.1239946052362155,0.0008055424913351358,275.89052399913516,5.557387734920876e-08,1.4368128862784468,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006113969453104812,-6070428.469593936,192.32112577925633,1.0247028751080253e-12,-0.005087027885136144,4.854200552713939e-10,-2.761153634117163e-09,-6.853724801060207,-1.8207387551656465e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,47,-7.113627043186088,0.0008139374455071014,278.74931056975254,5.61523577321023e-08,1.4368400925085734,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006114159790297837,-6070333.980952207,194.3200128211741,1.0247826383530905e-12,-0.005087186227313371,4.904576281217611e-10,-2.7613685902003023e-09,-6.853938301394329,-1.8395991664751618e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,48,-7.103259481135961,0.0008224198876220456,281.6376822542092,5.67368535020398e-08,1.4368672984314155,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006114350238370853,-6070239.441682568,196.33965233927535,1.0248624318469983e-12,-0.00508734471123547,4.955474175688743e-10,-2.761583574065527e-09,-6.854151659319174,-1.858654609357489e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,49,-7.092891919085833,0.0008309907294348183,284.55598294896737,5.7327433349634465e-08,1.4368945043542576,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006114540692376076,-6070144.903885282,198.3802827153117,1.0249422295664784e-12,-0.005087503205027466,5.006900269847942e-10,-2.7617985639573763e-09,-6.854364997303239,-1.8779074353570822e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,50,-7.082524357035705,0.000839650892202112,287.50456643275885,5.7924167237746816e-08,1.4369217106111523,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006114731000111405,-6070050.443105392,200.4421475627638,1.0250219936327756e-12,-0.005087661517760804,5.058860750380304e-10,-2.762013527612955e-09,-6.8545784912061745,-1.8973600690729513e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,51,-7.0721567949855775,0.0008484013067814892,290.48370328770346,5.852711266041454e-08,1.436948916868047,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006114921313769837,-6069955.9837954575,202.52544239605442,1.0251017619192331e-12,-0.005087819840352272,5.111360465047934e-10,-2.762228497290145e-09,-6.854791965180692,-1.917014204055925e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,52,-7.061789232935451,0.0008572429137314355,293.4936707944294,5.9136327876068836e-08,1.4369761228176496,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006115111738330807,-6069861.473854237,204.6303660493741,1.025181560464877e-12,-0.0050879783047157534,5.164404362433997e-10,-2.7624434947581574e-09,-6.855005296726077,-1.9368715786138084e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,53,-7.051421670885323,0.0008661766634124609,296.5348273292799,5.975188448056181e-08,1.4370033287672523,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006115302168821782,-6069766.965384546,206.75716697171146,1.025261363235312e-12,-0.005088136778945465,5.217998730691641e-10,-2.7626584982516814e-09,-6.855218608338088,-1.956934643295633e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,54,-7.041054108835195,0.0008752035160892471,299.6075415641577,6.037385539558559e-08,1.4370305350509007,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006115492453033401,-6069672.533920925,208.90609906359097,1.0253411323428255e-12,-0.005088295072103935,5.272150017349634e-10,-2.7628734754998486e-09,-6.855432075883754,-1.977205924762856e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,55,-7.030686546785068,0.0008843244420338664,302.71209547484784,6.100230054690331e-08,1.437057741334549,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.000611568274316592,-6069578.10392644,211.0773660965182,1.0254209056697189e-12,-0.005088453375116869,5.326863274601783e-10,-2.763088458768514e-09,-6.855645523508409,-1.9976871878259856e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,56,-7.02031898473494,0.0008935404216300746,305.8487780148462,6.163728065678172e-08,1.4370849473108978,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006115873144223521,-6069483.6232972955,213.27117530079323,1.0255007092661407e-12,-0.005088611819928949,5.382143659674753e-10,-2.7633034698367358e-09,-6.855858828684072,-2.018380243916801e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,57,-7.0099514226848125,0.0009028524454786869,309.01796265008215,6.227887034918941e-08,1.4371121532872464,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006116063551208928,-6069389.144138861,215.48778561782453,1.0255805170865744e-12,-0.005088770274603596,5.437997725883611e-10,-2.763518486929358e-09,-6.856072113933767,-2.039287646757347e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,58,-6.999583860634685,0.0009122615145040567,312.220033572621,6.292714562978528e-08,1.4371393595976338,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006116253811905511,-6069294.741975178,217.7274616695796,1.0256602912343465e-12,-0.005088928548194412,5.49443219259889e-10,-2.7637334777675356e-09,-6.8562855551319,-2.060412029367963e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,59,-6.989216298584558,0.0009217686400616614,315.4552846316963,6.358216895890989e-08,1.4371665659080213,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006116444078520793,-6069200.341279805,219.99041583337439,1.0257400696007186e-12,-0.005089086831636032,5.551452325067315e-10,-2.7639484746250987e-09,-6.856498976416423,-2.08175523081734e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,60,-6.97884873653443,0.0009313748440468132,318.7240169450945,6.424400362686655e-08,1.4371937719111016,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006116634456083701,-6069105.889946407,222.27686409020313,1.025819878246963e-12,-0.005089245256903924,5.609063497956256e-10,-2.7641634992909585e-09,-6.856712255232103,-2.1033191387374028e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,61,-6.968481174484302,0.0009410811590044953,322.0266197037101,6.491272741381491e-08,1.437220977914182,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006116824839572212,-6069011.4400829,224.5870763169818,1.0258996911164398e-12,-0.00508940369203072,5.667272540924522e-10,-2.7643785299801065e-09,-6.856925514129215,-2.125106414367147e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,62,-6.958113612434175,0.0009508886282403491,325.36349327315907,6.558841953980832e-08,1.4372481842512939,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006117015076762443,-6068917.067202825,226.9213283098272,1.0259794703035166e-12,-0.005089561946061109,5.726086456646241e-10,-2.7645935344057208e-09,-6.857138928989533,-2.147119801563102e-06
