backend,schema_version,branch_id,point_index,T_K,p_Pa,F,N_a_m3,N_a_cm3,log_w,w_m_s,log_n,log_q,n,q,s,continuation_residual_norm,physical_residual_norm,scaled_physical_residual_norm,converged,iterations,message,eigen_index,eigenvalue_real,eigenvalue_imag,eigenvalue_regime,stability_classification,jacobian_coordinate_system,jacobian_method,eigenvalue_source,source_file
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,11,230.0,30000.0,1.0,10000000000.0,10000.0,-7.486859276990679,0.0005604002614326813,5.259204392810905,-17.067989029038134,192.32841254235558,3.867822607233957e-08,1.4358606780039729,1.897358109334669e-14,2.2948801676585205e-14,1.3013743228545083e-14,true,1,converged,1,-0.0026649093159818544,0.0008053377224885718,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,11,230.0,30000.0,1.0,10000000000.0,10000.0,-7.486859276990679,0.0005604002614326813,5.259204392810905,-17.067989029038134,192.32841254235558,3.867822607233957e-08,1.4358606780039729,1.897358109334669e-14,2.2948801676585205e-14,1.3013743228545083e-14,true,1,converged,2,-0.0026649093159818544,-0.0008053377224885718,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,11,230.0,30000.0,1.0,10000000000.0,10000.0,-7.486859276990679,0.0005604002614326813,5.259204392810905,-17.067989029038134,192.32841254235558,3.867822607233957e-08,1.4358606780039729,1.897358109334669e-14,2.2948801676585205e-14,1.3013743228545083e-14,true,1,converged,3,-0.00036366123405122533,0.0,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,12,230.0,30000.0,1.0,10000000000.0,10000.0,-7.476491714940551,0.0005662404679559741,5.2694052502070186,-17.057741851177337,194.30036797027861,3.9076606385228037e-08,1.4358875997801388,8.846504119546992e-11,8.686742740007366e-11,6.049737196835289e-11,true,0,converged,1,-0.0026626684098327935,0.000801098828524135,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,12,230.0,30000.0,1.0,10000000000.0,10000.0,-7.476491714940551,0.0005662404679559741,5.2694052502070186,-17.057741851177337,194.30036797027861,3.9076606385228037e-08,1.4358875997801388,8.846504119546992e-11,8.686742740007366e-11,6.049737196835289e-11,true,0,converged,2,-0.0026626684098327935,-0.000801098828524135,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,12,230.0,30000.0,1.0,10000000000.0,10000.0,-7.476491714940551,0.0005662404679559741,5.2694052502070186,-17.057741851177337,194.30036797027861,3.9076606385228037e-08,1.4358875997801388,8.846504119546992e-11,8.686742740007366e-11,6.049737196835289e-11,true,0,converged,3,-0.00036833177138066427,0.0,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,13,230.0,30000.0,1.0,10000000000.0,10000.0,-7.4661241528904245,0.0005721415381415128,5.279821374115147,-17.04727842559676,196.33480174167573,3.9487628145889775e-08,1.4359150896873096,1.9348702513414252e-14,2.1232538708760586e-14,1.328417173878543e-14,true,1,converged,1,-0.002660340807679885,0.0007966804925811848,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,13,230.0,30000.0,1.0,10000000000.0,10000.0,-7.4661241528904245,0.0005721415381415128,5.279821374115147,-17.04727842559676,196.33480174167573,3.9487628145889775e-08,1.4359150896873096,1.9348702513414252e-14,2.1232538708760586e-14,1.328417173878543e-14,true,1,converged,2,-0.002660340807679885,-0.0007966804925811848,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,13,230.0,30000.0,1.0,10000000000.0,10000.0,-7.4661241528904245,0.0005721415381415128,5.279821374115147,-17.04727842559676,196.33480174167573,3.9487628145889775e-08,1.4359150896873096,1.9348702513414252e-14,2.1232538708760586e-14,1.328417173878543e-14,true,1,converged,3,-0.00037317997424876853,0.0,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,14,230.0,30000.0,1.0,10000000000.0,10000.0,-7.455756590840297,0.0005781041062794332,5.290237498023275,-17.036815000016187,198.39053717509975,3.990297318084181e-08,1.4359425795944805,9.429640987102349e-11,8.873603111352053e-11,6.17963601770853e-11,true,0,converged,1,-0.0026579724140223335,0.0007921682851830934,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
