start,cycle_index,start_time_s,end_time_s,period_s,s_max,s_min,s_amplitude,period_relative_drift,amplitude_relative_drift
paper_0.99,71,164457.85343538102,166919.4502731192,2461.5968377381796,1.477423109364683,1.3567167482475473,0.12070636111713573,5.8622080886402342e-06,3.41559324239544e-05
paper_0.99,72,166919.4502731192,169381.05871163087,2461.6084385116701,1.4774230310967968,1.3567130349124861,0.12070999618431077,4.7127024672159523e-06,3.0114959488486269e-05
paper_0.99,73,169381.05871163087,171842.6654525082,2461.6067408773233,1.4774231117112964,1.3567181436037214,0.12070496810757492,6.8964434807088149e-07,4.165418685110889e-05
paper_0.99,74,171842.6654525082,174304.26655468423,2461.6011021760351,1.4774231117112964,1.3567158525573122,0.12070725915398417,2.290658858958411e-06,1.8980547736950622e-05
paper_0.99,75,174304.26655468423,176765.87782292362,2461.6112682393868,1.477423109364761,1.356712625264644,0.12071048410011698,4.1298581410297441e-06,2.6717085247483723e-05
paper_0.99,76,176765.87782292362,179227.47466069696,2461.596837773337,1.477423109364761,1.3567167482422919,0.12070636112246902,5.8622034421127477e-06,3.4155920081790861e-05
paper_0.99,77,179227.47466069696,181689.08309924521,2461.6084385482536,1.477423031096776,1.3567130349101602,0.12070999618661582,4.7127030464830299e-06,3.0114934399461089e-05
paper_0.99,78,181689.08309924521,184150.68984009334,2461.6067408481322,1.4774231117112833,1.356718143601394,0.12070496810988929,6.8967106825536436e-07,4.1654186773054974e-05
paper_0.99,79,184150.68984009334,186612.29094230005,2461.6011022067105,1.4774231117112833,1.3567158525494361,0.12070725916184721,2.2906345388623577e-06,1.8980593705470323e-05
paper_0.99,80,186612.29094230005,189073.90221054197,2461.6112682419189,1.4774231093647743,1.356712625264022,0.12071048410075225,4.1298467080113268e-06,2.6717025367207567e-05
paper_0.99,81,189073.90221054197,191535.49904832119,2461.596837779216,1.4774231093647743,1.3567167482412654,0.12070636112350885,5.8622020824523538e-06,3.415591673007728e-05
paper_0.99,82,191535.49904832119,193997.10748687529,2461.6084385541035,1.4774230310967709,1.3567130349097973,0.12070999618697353,4.7127030346486235e-06,3.0114928748123956e-05
paper_0.99,83,193997.10748687529,196458.7142277183,2461.6067408430099,1.4774231117112846,1.3567181436010247,0.12070496811025988,6.8967552556054574e-07,4.1654186666241225e-05
paper_0.99,84,196458.7142277183,198920.31532993016,2461.6011022118619,1.4774231117112846,1.3567158525481513,0.1207072591631333,2.2906303653117057e-06,1.8980601289937526e-05
paper_0.99,85,198920.31532993016,201381.92659817211,2461.611268241948,1.4774231093647774,1.3567126252639128,0.1207104841008646,4.1298446271317602e-06,2.6717015643168183e-05
paper_0.99,86,201381.92659817211,203843.52343595243,2461.5968377803219,1.4774231093647774,1.3567167482410345,0.12070636112374289,5.8622016449982724e-06,3.4155915722010075e-05
paper_0.99,87,203843.52343595243,206305.13187450875,2461.6084385563154,1.4774230310967675,1.3567130349096999,0.12070999618706768,4.7127034839262346e-06,3.0114927589153146e-05
paper_0.99,88,206305.13187450875,208766.73861534774,2461.6067408389936,1.4774231117112799,1.3567181436008875,0.12070496811039244,6.8967805570225898e-07,4.1654186347977289e-05
paper_0.99,89,208766.73861534774,211228.33971756187,2461.601102214132,1.4774231117112799,1.3567158525474088,0.12070725916387115,2.2906278115251591e-06,1.8980606304570201e-05
paper_0.99,90,211228.33971756187,213689.95098580376,2461.6112682418898,1.4774231093647785,1.3567126252639048,0.12071048410087371,4.1298436812775322e-06,2.6717009605667941e-05
paper_0.99,91,213689.95098580376,216151.54782358429,2461.5968377805257,1.4774231093647785,1.3567167482409961,0.12070636112378241,5.8622015385906774e-06,3.4155915469998644e-05
paper_0.99,92,216151.54782358429,218613.15626214058,2461.6084385562863,1.4774230310967682,1.3567130349096983,0.1207099961870699,4.7127033893406387e-06,3.0114927280099975e-05
paper_0.99,93,218613.15626214058,221074.76300297998,2461.606740839401,1.4774231117112802,1.3567181436008904,0.12070496811038978,6.8967787835584198e-07,4.1654186388445264e-05
paper_0.99,94,221074.76300297998,223536.3641051939,2461.6011022139282,1.4774231117112802,1.3567158525474494,0.12070725916383074,2.2906280598099464e-06,1.898060599184461e-05
paper_0.99,95,223536.3641051939,225997.9753734362,2461.6112682422972,1.4774231093647767,1.3567126252638966,0.12071048410088014,4.1298439295636092e-06,2.6717009993817682e-05
paper_0.99,96,225997.9753734362,228459.57221121667,2461.5968377804675,1.4774231093647767,1.3567167482410594,0.12070636112371735,5.8622017277590105e-06,3.41559160623096e-05
paper_0.99,97,228459.57221121667,230921.18064977243,2461.6084385557624,1.4774230310967689,1.3567130349097176,0.12070999618705125,4.7127032001703379e-06,3.0114927664580803e-05
paper_0.99,98,230921.18064977243,233382.78739061271,2461.6067408402741,1.4774231117112799,1.3567181436009108,0.12070496811036913,6.8967731084742809e-07,4.1654186405007096e-05
paper_0.99,99,233382.78739061271,235844.38849282631,2461.6011022136081,1.4774231117112799,1.3567158525475951,0.12070725916368485,2.2906285445563638e-06,1.8980604954333336e-05
paper_0.99,100,235844.38849282631,238305.99976106847,2461.6112682421517,1.4774231093647761,1.356712625263907,0.12071048410086904,4.1298440005029277e-06,2.6717011110444584e-05
