time_s,n_kg_dry_air_minus1,q_kg_kg_dry_air_minus1,s
234300.75139497771,52350.402574128282,8.1603778112351812e-06,1.3578902278962732
234353.88874126732,48162.01457536684,7.6469534817887587e-06,1.3569840132160114
234407.02608755694,44266.287691549776,7.1415024821548415e-06,1.3567165459117967
234460.16343384655,40651.335099850963,6.6507554821301636e-06,1.3570413295744943
234513.30078013617,37303.52369155085,6.1794081550467966e-06,1.3579147348868894
234566.43812642578,34208.19986601729,5.7305344836642952e-06,1.3592962104997921
234619.5754727154,31350.244253998095,5.3059441176529355e-06,1.3611483235780064
234672.71281900501,28714.486114393399,4.9064822101440837e-06,1.3634366886427705
234725.85016529463,26286.004843841176,4.5322750407252549e-06,1.3661298267435058
234778.98751158424,24050.342224416123,4.1829272322513891e-06,1.3691989845587607
234832.12485787386,21993.645212362928,3.8576773295302991e-06,1.3726179338647881
234885.26220416347,20102.755521286788,3.5555185356484021e-06,1.3763627651568824
234938.39955045309,18365.259112282158,3.275290911983232e-06,1.3804116844413012
234991.53689674271,16769.506015390813,3.0157506121044739e-06,1.3847448188448834
235044.67424303232,15304.608662179995,2.7756209058326784e-06,1.3893440343397199
235097.81158932194,13960.425070202664,2.5536289550907529e-06,1.3941927672686005
235150.94893561155,12727.531736129977,2.3485315788856115e-06,1.3992758702734991
235204.08628190117,11597.189911974674,2.1591326127413405e-06,1.404579472520052
235257.22362819078,10561.308007177546,1.984293932792098e-06,1.4100908536639827
235310.3609744804,9612.4021339895171,1.8229417715850369e-06,1.4157983307400421
235363.49832077001,8743.5562685620225,1.6740695919949693e-06,1.4216911570118465
235416.63566705963,7948.3832373282021,1.5367384982552489e-06,1.4277594317523217
235469.77301334924,7220.98913978375,1.4100759595929061e-06,1.4339940198089731
235522.91035963886,6555.96235048362,1.2932737328709893e-06,1.440386478624563
235576.04770592847,5948.6229389184127,1.1855890663801139e-06,1.4469289765906013
235614.82737355647,5540.8300618428921,1.11238329275123e-06,1.4517941149864577
235643.62233629596,5261.1322296438466,1.0608703702783009e-06,1.4554538743048906
235666.56609655992,5062.1925866149586,1.0216464921495619e-06,1.4583973567816668
